State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,California Family Pact Program,Tier 2 — State-wide,Provides free birth control and other health services to eligible community members.,Eligible community members seeking family planning services,Not specified,Can sign up at Sonoma County Health Clinics,Not specified,Yes,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/birth-control,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Emergency Contraception,UNMATCHED,Helps prevent pregnancy after unprotected sex or contraceptive failure.,Individuals who have had unprotected sex,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/birth-control,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Comprehensive Perinatal Services Program,Maternal Health,"The Comprehensive Perinatal Services Program (CPSP) provides supportive and educational services for pregnant women with Medi-Cal coverage, from conception through 60 days postpartum.",Pregnant women with Medi-Cal coverage,Medi-Cal coverage,Not specified,Not specified,Yes,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/comprehensive-perinatal-services-program,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Comprehensive Perinatal Services Program,Tier 1,A program providing comprehensive services to support pregnant individuals and their families.,Pregnant individuals and their families,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Perinatal Mental Health,Tier 3,A program focused on supporting mental health for pregnant and postpartum individuals.,Pregnant and postpartum individuals experiencing mental health challenges,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Public Health Home Visiting Programs,Tier 2,Programs that provide home visiting services to support families during pregnancy and early childhood.,Pregnant women and parents with children 0-5 in at-risk communities,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Comprehensive Perinatal Services Program,Tier 2 — State-wide,A program that provides comprehensive services for pregnant women.,Pregnant women,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/teen-health,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Perinatal Mental Health,Tier 3 — Selective,Support for individuals experiencing mental health challenges during the perinatal period.,Pregnant and postpartum individuals,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/teen-health,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Public Health Home Visiting Programs,Tier 2 — State-wide,Home visiting services for pregnant women and parents with young children.,Pregnant women and parents with children 0-5,At-risk communities; low-income,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/teen-health,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Public Health Home Visiting Programs,Selective,"Public health nurses provide home visits for grief support, information, and referrals to link families and caregivers affected by SUID/SIDS and fetal loss with resources for healing.",Families affected by SUID/SIDS and fetal loss,Not specified,Call for more information,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/grief-and-bereavement-support,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Perinatal Mental Health,Selective,Support for pregnant and postpartum individuals experiencing mental health challenges.,Pregnant and postpartum individuals,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/grief-and-bereavement-support,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Parents as Teachers,Selective,A program that provides parent educator home visits.,Expectant parents and families with children from birth through age 3 (or 5 in some cases).,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/office-of-vital-statistics/birth-certificates,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Nurse-Family Partnership (NFP),Selective,Nurse-Family Partnership is a community health program that provides support and resources to first-time mothers.,"First-time, low-income pregnant women enrolled by 28 weeks gestation","First-time mom, under 28 weeks of pregnancy, eligible for WIC or Medi-Cal",Not specified,Not specified,Yes,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/home-visiting/nurse-family-partnership-(nfp),2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,"Woman, Infants and Children (WIC)",Tier 1 — Universal,"WIC is a nutrition program which stands for Women, Infants and Children.","Pregnant women, women who have recently been pregnant, infants, and children up to their fifth birthday.",Not specified,Not specified,Not specified,Yes,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/woman-infants-and-children-(wic),2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Perinatal Mental Health,Tier 3 — Selective,Support for pregnant and postpartum individuals experiencing mental health challenges.,Pregnant and postpartum individuals experiencing mental health challenges,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/fathers-and-partners-in-parenting,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Comprehensive Perinatal Services Program,UNMATCHED,Program providing comprehensive services for perinatal health.,Not specified,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/fathers-and-partners-in-parenting,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Perinatal Mental Health Toolkit,Tier 3 — Selective,"A toolkit that includes stories, information, resources and inclusive practices for perinatal mental health.",Pregnant and postpartum individuals experiencing mental health challenges,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/lgbtq-family,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Comprehensive Perinatal Services Program,Not specified,A program providing comprehensive services for perinatal health.,Not specified,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/lgbtq-family,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Public Health Home Visiting Programs,Tier 2 — State-wide,Programs that provide home visiting services to support families during pregnancy and early childhood.,Pregnant women and parents with children 0-5 in at-risk communities,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/lgbtq-family,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Medi-Cal,Tier 1 — Universal,Medi-Cal offers free or low-cost medical and dental coverage to California residents with limited income.,California residents with limited income,Income must meet Medi-Cal thresholds,"There are many ways to apply including online, by mail, in person, or by fax.","Include everyone's name, date of birth, social security number, income, tax filing status, and property information if applicable.",Yes,https://sonomacounty.gov/health-and-human-services/human-services/health-food/medi-cal,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Sonoma County WIC Programs,Tier 1 — Universal,"The Sonoma County WIC Programs provide access to free healthy foods, nutrition education, breastfeeding support, and referrals to other local resources.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/infant-and-childrens-health,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Perinatal Mental Health,Tier 3 — Selective,Perinatal Mental Health services provide support for pregnant and postpartum individuals experiencing mental health challenges.,Pregnant and postpartum individuals experiencing mental health challenges,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/infant-and-childrens-health,2026-04-20,Swindar,
California,Sonoma,https://sonomacounty.ca.gov/,Sonoma County Department of Health Services,lucy.tyrala@sonomacounty.gov,(707) 565-4554,Public Health Home Visiting Programs,Tier 3 — Selective,Public Health Home Visiting Programs support expectant parents and families with children from birth through age 3.,Expectant parents and families with children from birth through age 3,Not specified,Not specified,Not specified,Unknown,https://sonomacounty.gov/health-and-human-services/health-services/divisions/public-health/maternal-child-and-adolescent-health/infant-and-childrens-health,2026-04-20,Swindar,
