State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Plumas,https://www.plumascounty.us/,Plumas County Public Health Agency,familyfirst@countyofplumas.com,(530) 283-6330,Alliance for Innovation on Maternal Health,Selective,Birthing hospitals and obstetric providers; indirectly serves all pregnant women.,All pregnant women,Not specified,Not specified,Not specified,Unknown,https://www.plumascounty.us/,2026-04-20,Swindar,
California,Plumas,https://www.plumascounty.us/,Plumas County Public Health Agency,familyfirst@countyofplumas.com,(530) 283-6330,Family First Home Visiting Program,Selective,"Family First Home Visiting Program is a free and confidential service to support local Plumas County residents with family health and wellbeing, offering valuable resources for family life.",Pregnant People and Families with children,Not specified,Not specified,Not specified,No,https://www.plumascounty.us/2238/Family-First-Home-Visiting-Program,2026-04-20,Swindar,
California,Plumas,https://www.plumascounty.us/,Plumas County Public Health Agency,familyfirst@countyofplumas.com,(530) 283-6330,"Maternal, Child, Adolescent Program (MCAH)",Tier 2 — State-wide,"We develop and implement programs that protect and improve maternal, infant, child, and adolescent health, and conduct comprehensive needs assessments every five years.","Maternal, infant, child, and adolescent populations",Not specified,Not specified,Not specified,Unknown,https://www.plumascounty.us/2542/Maternal-Child-Adolescent-Program-MCAH,2026-04-20,Swindar,
California,Plumas,https://www.plumascounty.us/,Plumas County Public Health Agency,familyfirst@countyofplumas.com,(530) 283-6330,Parents as Teachers,Selective,A program that provides parent educator home visits.,Expectant parents and families with children from birth through age 3 (or 5 in some cases).,Not specified,Not specified,Not specified,Unknown,https://www.plumascounty.us/DocumentCenter/View/51468/PAT_Flyer_Affiliate_English,2026-04-20,Swindar,
California,Plumas,https://www.plumascounty.us/,Plumas County Public Health Agency,familyfirst@countyofplumas.com,(530) 283-6330,Alliance for Innovation on Maternal Health,Selective,A program aimed at improving maternal safety in birthing hospitals.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women.,Not specified,Not specified,Not specified,Unknown,https://www.plumascounty.us/DocumentCenter/View/51468/PAT_Flyer_Affiliate_English,2026-04-20,Swindar,
California,Plumas,https://www.plumascounty.us/,Plumas County Public Health Agency,familyfirst@countyofplumas.com,(530) 283-6330,Perinatal Care Network / Regional Perinatal Programs of California,Selective,A program that supports high-risk pregnant women on Medi-Cal.,"High-risk pregnant women on Medi-Cal; preterm birth, NICU, high-risk OB cases.",Not specified,Not specified,Not specified,Unknown,https://www.plumascounty.us/DocumentCenter/View/51468/PAT_Flyer_Affiliate_English,2026-04-20,Swindar,
California,Plumas,https://www.plumascounty.us/,Plumas County Public Health Agency,familyfirst@countyofplumas.com,(530) 283-6330,Family First Home Visiting Program,home visiting,"Family First Home Visiting Program is a free and confidential service to support local Plumas County residents with family health and wellbeing, offering valuable resources for family life.",Pregnant people and families with children,Not specified,Not specified,Not specified,No,https://www.plumascounty.us/2238/Family-First-Home-Visiting-Program,2026-04-20,Swindar,
California,Plumas,https://www.plumascounty.us/,Plumas County Public Health Agency,familyfirst@countyofplumas.com,(530) 283-6330,Parents as Teachers,Selective,A program that provides parent educator home visits.,Expectant parents and families with children from birth through age 3 (or 5 in some cases).,Not specified,Not specified,Not specified,Unknown,https://www.plumascounty.us/DocumentCenter/View/51467/PAT_Flyer_Affiliate_Spanish,2026-04-20,Swindar,
California,Plumas,https://www.plumascounty.us/,Plumas County Public Health Agency,familyfirst@countyofplumas.com,(530) 283-6330,Perinatal Care Network / Regional Perinatal Programs of California,Selective,A program that serves high-risk pregnant women on Medi-Cal.,"High-risk pregnant women on Medi-Cal; preterm birth, NICU, high-risk OB cases.",Not specified,Not specified,Not specified,Unknown,https://www.plumascounty.us/DocumentCenter/View/51467/PAT_Flyer_Affiliate_Spanish,2026-04-20,Swindar,
California,Plumas,https://www.plumascounty.us/,Plumas County Public Health Agency,familyfirst@countyofplumas.com,(530) 283-6330,Alliance for Innovation on Maternal Health,Selective,A program focused on maternal safety and quality improvement in obstetric care.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women.,Not specified,Not specified,Not specified,Unknown,https://www.plumascounty.us/DocumentCenter/View/51467/PAT_Flyer_Affiliate_Spanish,2026-04-20,Swindar,
