State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Parents as Teachers,Selective,A program that serves expectant parents and families with children from birth through age 3.,Expectant parents and families with children from birth through age 3 (or 5 in some cases),Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/fil/information--privacy-policy-sfgov,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Alliance for Innovation on Maternal Health,Selective,A program that focuses on maternal safety and quality improvement in obstetric care.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/fil/information--privacy-policy-sfgov,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,"Maternal, Child, and Adolescent Health",Tier 2 — State-wide,MCAH is committed to helping prevent preterm birth and infant death.,"Pregnant women, mothers, infants, children including those with special health care needs",Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/maternal-health-awareness/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,San Francisco Black Infant Health Program,Tier 3 — Selective,We provide services for Black or African American pregnant people.,Black or African American pregnant people,Not specified,Not specified,Not specified,Yes,https://www.sf.gov/departments/san-francisco-black-infant-health-program,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Concientización sobre el parto prematuro,Maternal Health Awareness,The program aims to prevent premature birth and infant mortality by connecting individuals with resources.,Individuals at risk of premature birth and pregnant women with risk factors.,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/es/maternal-health-awareness/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,"Maternal, Child, and Adolescent Health",Tier 1 - Universal,"The program focuses on health data and reports related to pregnant women, children, and adolescents in San Francisco.","Pregnant women, children, and adolescents",Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/fil/resource--2023--maternal-child-and-adolescent-health-data-and-reports/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Parents as Teachers,Tier 3 - Selective,This program serves expectant parents and families with children from birth through age 3.,Expectant parents and families with children from birth through age 3,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/fil/resource--2023--maternal-child-and-adolescent-health-data-and-reports/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Presumptive Eligibility,Tier 1 — Universal,A short term Medi-Cal program for women and teens who think they may be pregnant or are pregnant.,Women and teens who think they may be pregnant or are pregnant.,Not specified,Contact any of the clinics listed.,Not specified,Yes,https://www.sf.gov/zh-hant/pregnancy-tests/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Family PACT,Tier 2 — State-wide,Family planning services available at the clinics.,Individuals seeking family planning services.,Not specified,Sign up at any of the clinics.,Not specified,Yes,https://www.sf.gov/zh-hant/pregnancy-tests/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Homeless Prenatal Program,Maternal Health,Family resource center in San Francisco that empowers homeless and low-income families.,Homeless and low-income families,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/topics--homelessness,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,"Women, Infants, & Children (WIC) Supplemental Nutrition Program",Tier 1 — Universal,Pregnant people and families with children can get linked to services like WIC.,"Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.sf.gov/es/calworks-through-public-health-nurse-0/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,San Francisco Black Infant Health Program,Tier 3 — Selective,We provide services for Black or African American pregnant people.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/es/calworks-through-public-health-nurse-0/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Parents as Teachers,Selective,A program that provides parent educator home visits.,Expectant parents and families with children from birth through age 3 (or 5 in some cases).,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/zh-hant/resource--2023--maternal-child-and-adolescent-health-data-and-reports/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,"Maternal, Child, and Adolescent Health",Tier 2 — State-wide,MCAH is dedicated to preventing preterm birth and infant mortality by providing necessary resources.,Pregnant women and infants at risk of preterm birth,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/zh-hant/maternal-health-awareness/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Programa de nutrición suplementaria WIC,Tier 1 — Universal,"WIC ayuda a las familias brindándoles educación nutricional, una tarjeta WIC para comprar alimentos saludables en el supermercado, apoyo para la lactancia materna y derivaciones a servicios de salud y otros servicios comunitarios.","Bebés y niños de hasta 5 años, embarazadas y madres primerizas.",Not specified,Not specified,Not specified,Yes,https://www.sf.gov/es/departments--department-public-health--maternal-child-and-adolescent-health,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Programa de visitas domiciliarias de enfermeras,Tier 3 — Selective,Una enfermera de salud pública puede visitarla en su domicilio si está embarazada o tiene un bebé nuevo.,Mujeres embarazadas y familias con bebés nuevos.,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/es/departments--department-public-health--maternal-child-and-adolescent-health,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,"Maternal, Child, and Adolescent Health",Tier 1 - Universal,"The Maternal, Child, and Adolescent Health (MCAH) Section Epidemiology Unit regularly monitors population-level health data and health program information.","Families, pregnant and preconception individuals, children, and adolescents in San Francisco.",Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/resource--2023--maternal-child-and-adolescent-health-data-and-reports/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Parents as Teachers,Tier 3 - Selective,A program that serves expectant parents and families with children from birth through age 3.,Expectant parents and families with children from birth through age 3.,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/resource--2023--maternal-child-and-adolescent-health-data-and-reports/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,婦女、嬰兒和兒童 (WIC) 補充營養計劃,Tier 1 — Universal,WIC 服務於 5 歲以下的嬰幼兒、孕婦和新手媽媽，提供營養教育、WIC 卡、母乳餵養支持等。,"Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.sf.gov/zh-hant/departments--department-public-health--maternal-child-and-adolescent-health,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,護士之家探訪計劃,UNMATCHED,公共衛生護理師可以上門拜訪懷孕或剛生下新生兒的家庭。,Pregnant women and families with newborns,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/zh-hant/departments--department-public-health--maternal-child-and-adolescent-health,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Child Health & Disability Prevention (CHDP) Program,Maternal and Child Health,"The CHDP Program provides health care services for children from birth through 20 years, focusing on preventive care.","Children with Medi-Cal, low to moderate-income children, children in foster care, and children in Head Start & State Preschool programs.",Children with Medi-Cal from birth through 20 years; low to moderate-income children from birth through 18 years.,Not specified,Not specified,Unknown,https://www.sf.gov/child-health-disability-prevention-chdp-program-0/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Parents as Teachers,Selective,Expectant parents and families with children from birth through age 3 (or 5 in some cases).,Expectant parents and families with children from birth through age 3.,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/fil/information--disclaimer-sfgov,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Alliance for Innovation on Maternal Health,Selective,Birthing hospitals and obstetric providers; indirectly serves all pregnant women.,Birthing hospitals and obstetric providers.,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/fil/information--disclaimer-sfgov,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,"Women, Infants, & Children (WIC) Supplemental Nutrition Program",Tier 1 — Universal,"The Women, Infants and Children (WIC) supplemental nutrition program helps individuals who are pregnant or postpartum, infants and children up to age 5 eat well, be active, and stay healthy.","Low-income pregnant, postpartum, and breastfeeding women; infants and children up to age 5.",Not specified,Contact Us to Enroll!,Not specified,Yes,https://www.sf.gov/es/wic-supplemental-nutrition-program/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,"Maternal, Child, and Adolescent Health",Tier 2 — State-wide,MCAH is committed to preventing preterm birth and infant mortality by connecting individuals with resources.,"Pregnant women, mothers, infants, and children including those with special health care needs.",Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/vi-vn/maternal-health-awareness/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
California,San Francisco,https://sf.gov/,San Francisco Department of Public Health,bih@sfdph.org,800-300-9950,Servicios de planificación familiar,Tier 2 — State-wide,Los servicios de planificación familiar permiten a las personas elegir si quieren tener hijos y cuándo hacerlo.,Individuals seeking family planning and reproductive health services,Not specified,Not specified,Not specified,Yes,https://www.sf.gov/es/information--family-planning-services/,2026-04-20,Swindar,"No specific programs from the registry were mentioned, hence program_id is UNMATCHED. No specific maternal health programs mentioned; general nutrition counseling services provided."
