State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Alliance for Innovation on Maternal Health,Selective,A program focused on improving maternal health safety and quality in birthing hospitals.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women,Not specified,Not specified,Not specified,Unknown,https://nationalpartnership.org/report/black-womens-maternal-health/,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Parents as Teachers,Selective,A program that provides home visits to expectant parents and families with young children.,Expectant parents and families with children from birth through age 3 (or 5 in some cases),Not specified,Not specified,Not specified,Unknown,https://nationalpartnership.org/report/black-womens-maternal-health/,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,"Special Supplemental Nutrition Program for Women, Infants, and Children",Universal,"A nutrition program that provides assistance to low-income pregnant, postpartum, and breastfeeding women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://nationalpartnership.org/report/black-womens-maternal-health/,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Black Infant Health Program,Tier 3 — Selective,Addresses the health disparities faced by Black/African American women and their infants.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DWICSN/Pages/Program-Landing1.aspx,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Fetal and Infant Mortality Review,Tier 3 — Selective,Conducts retrospective reviews of fetal and infant deaths to improve health outcomes.,Not specified,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DWICSN/Pages/Program-Landing1.aspx,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,California Home Visiting Program,Tier 2 — State-wide,Provides home visiting services to pregnant women and parents with young children.,Pregnant women and parents with children 0-5 in at-risk communities,"Low-income, at-risk families",Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DWICSN/Pages/Program-Landing1.aspx,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Black Infant Health Program,Tier 3 — Selective,"This program provides social support, education classes, case management, referral and assistance into care for eligible high-risk families and infants up to one year of age.",Black/African American women of childbearing age and their infants,Not specified,Contact for information and referrals,Not specified,Unknown,https://cms.sjcphs.org/phs/programs-and-services/family-health-programs,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Healthy Families San Joaquin,Tier 3 — Selective,Healthy Families focuses on building and nurturing parent-child relationships and interactions through in-home and virtual visits.,Pregnant individuals or those with an infant less than 3 months old,Eligibility criteria: pregnant or those who have an infant less than 3 months old.,Contact for more information,Not specified,Unknown,https://cms.sjcphs.org/phs/programs-and-services/family-health-programs,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,"Women, Infants & Children Program (WIC)",Tier 1 — Universal,"WIC helps families by providing nutrition education, breastfeeding support, healthy foods and referrals to health care and other community services.","Pregnant and post-partum women, newborn infants, and children under the age of 5",Not specified,Contact main WIC office for information,Not specified,Yes,https://cms.sjcphs.org/phs/programs-and-services/family-health-programs,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Public Health Nurse Home Visits,UNMATCHED,"Home visits for high risk families and infants for care referrals and coordination, developmental assessments and parent education.",High risk families and infants,Not specified,Contact for more information,Not specified,Unknown,https://cms.sjcphs.org/phs/programs-and-services/family-health-programs,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Black Infant Health Program,Tier 3 — Selective,Addresses the higher rates of infant mortality among Black/African American women.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/PEI/Pages/default.aspx,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Fetal and Infant Mortality Review,Tier 3 — Selective,Conducts retrospective reviews of fetal and infant deaths to improve health outcomes.,Indirectly benefits all pregnant women,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/PEI/Pages/default.aspx,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,"Maternal, Infant, and Early Childhood Home Visiting Program",Tier 2 — State-wide,Provides home visiting services to pregnant women and parents with young children.,Pregnant women and parents with children 0-5 in at-risk communities,Low-income,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/PEI/Pages/default.aspx,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Regional Perinatal Programs of California,Tier 3 — Selective,Supports high-risk pregnant women on Medi-Cal with specialized care.,High-risk pregnant women on Medi-Cal,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/PEI/Pages/default.aspx,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Alliance for Innovation on Maternal Health,Tier 3 — Selective,Focuses on improving maternal safety and quality of care in birthing hospitals.,Birthing hospitals and obstetric providers,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/PEI/Pages/default.aspx,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Parents as Teachers,Tier 3 — Selective,Provides home visits and support for expectant parents and families with young children.,Expectant parents and families with children from birth through age 3,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/PEI/Pages/default.aspx,2026-04-20,Swindar,
California,San Joaquin,https://www.sjgov.org/,San Joaquin County,hsa-phn@sjgov.org,1516047113,Parents as Teachers,Selective,A program that serves expectant parents and families with children from birth through age 3 (or 5 in some cases).,Expectant parents and families with children from birth through age 3.,Not specified,Not specified,Not specified,Unknown,https://www.cdc.gov/womens-health/features/maternal-mortality.html,2026-04-20,Swindar,
