State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Santa Cruz,https://www.santacruzcounty.us/,Santa Cruz County Public Health,Not found,(831) 454-4100,Nurse Home Visiting Programs,Tier 3 — Selective,"Nurse Home Visiting Programs provide support to first-time, low-income pregnant women through home visits.","First-time, low-income pregnant women",Enrolled by 28 weeks gestation,Not specified,Not specified,Unknown,https://www.santacruzhealth.org/PublicHealth/ChildrenFamilyHealth/MCAH.aspx,2026-04-20,Swindar,
California,Santa Cruz,https://www.santacruzcounty.us/,Santa Cruz County Public Health,Not found,(831) 454-4100,MCAH Title V,Tier 2 — State-wide,The Maternal Child Adolescent Health Program (MCAH) aims to improve the health and well-being of women and birthing persons.,"Infants, children, adolescents, women, and birthing persons",Not specified,Not specified,Not specified,Unknown,https://www.santacruzhealth.org/PublicHealth/ChildrenFamilyHealth/MCAH.aspx,2026-04-20,Swindar,
California,Santa Cruz,https://www.santacruzcounty.us/,Santa Cruz County Public Health,Not found,(831) 454-4100,Medi-Cal,Tier 1 — Universal,"Medi-Cal provides health coverage for low-income individuals, including pregnant women.",Pregnant individuals meeting income thresholds; varies by state expansion status,Not specified,Not specified,Not specified,Yes,https://www.santacruzhealth.org/HealthCenters/LocationsServices/SCHC.aspx,2026-04-20,Swindar,
California,Santa Cruz,https://www.santacruzcounty.us/,Santa Cruz County Public Health,Not found,(831) 454-4100,Parents as Teachers,Tier 3 — Selective,Parents as Teachers provides support and education for expectant parents and families with young children.,Expectant parents and families with children from birth through age 3 (or 5 in some cases),Not specified,Not specified,Not specified,Unknown,https://www.santacruzhealth.org/HealthCenters/LocationsServices/SCHC.aspx,2026-04-20,Swindar,
California,Santa Cruz,https://www.santacruzcounty.us/,Santa Cruz County Public Health,Not found,(831) 454-4100,Nurse Home Visiting Programs,Selective,"Public Health Nurses provide bereavement support, information, resources, and follow-up services to assist families and caregivers who have experienced the loss of an infant from SIDS or Sudden Unexpected Infant Death (SUID).",Families and caregivers who have experienced the loss of an infant.,Not specified,Not specified,Not specified,Unknown,https://www.santacruzhealth.org/PublicHealth/ChildrenFamilyHealth/MCAH/SIDS.aspx,2026-04-20,Swindar,
California,Santa Cruz,https://www.santacruzcounty.us/,Santa Cruz County Public Health,Not found,(831) 454-4100,Nurse Home Visiting Programs,Selective,Nurse Home Visiting Programs provide support and resources for families during pregnancy and after childbirth.,"First-time, low-income pregnant women enrolled by 28 weeks gestation",Not specified,Not specified,Not specified,Unknown,https://www.santacruzhealth.org/PublicHealth/ChildrenFamilyHealth/MCAH/PregnancyandPost-PartumGuide.aspx,2026-04-20,Swindar,
California,Santa Cruz,https://www.santacruzcounty.us/,Santa Cruz County Public Health,Not found,(831) 454-4100,"Women, Infants and Children (WIC)",Tier 1 — Universal,"The WIC program provides nutritional support and education to low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.santacruzhealth.org/PublicHealth/ChildrenFamilyHealth/MCAH/BreastfeedingCoalition.aspx,2026-04-20,Swindar,
California,Santa Cruz,https://www.santacruzcounty.us/,Santa Cruz County Public Health,Not found,(831) 454-4100,Nurse Home Visiting Programs,Tier 3 — Selective,"Nurse home visiting programs provide support and education to first-time, low-income pregnant women through home visits by registered nurses.","First-time, low-income pregnant women enrolled by 28 weeks gestation",Not specified,Not specified,Not specified,Unknown,https://www.santacruzhealth.org/PublicHealth/ChildrenFamilyHealth/MCAH/BreastfeedingCoalition.aspx,2026-04-20,Swindar,
California,Santa Cruz,https://www.santacruzcounty.us/,Santa Cruz County Public Health,Not found,(831) 454-4100,Medi-Cal,Tier 1 — Universal,"Medi-Cal provides health coverage for low-income individuals, including pregnant women.",Pregnant individuals meeting income thresholds; varies by state expansion status,Meeting income thresholds,Contact for appointment or information,Not specified,Yes,https://www.santacruzhealth.org/HealthCenters/LocationsServices/WHC.aspx,2026-04-20,Swindar,
California,Santa Cruz,https://www.santacruzcounty.us/,Santa Cruz County Public Health,Not found,(831) 454-4100,Parents as Teachers,Tier 3 — Selective,Parents as Teachers is a program that provides home visits to support expectant parents and families with young children.,Expectant parents and families with children from birth through age 3 (or 5 in some cases),Not specified,Not specified,Not specified,Unknown,https://www.santacruzhealth.org/HealthCenters/LocationsServices/WHC.aspx,2026-04-20,Swindar,
