State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,"Women, Infants, and Children program",Tier 1 — Universal,"WIC is designed to help pregnant women, new mothers, and young children eat well and stay healthy.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",meet the income guidelines,Not specified,Not specified,Yes,https://wicprogram.us/program/update?id=6162,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,Nurse-Family Partnership (NFP),Selective,"The Nurse-Family Partnership provides first-time expectant mothers with a Public Health Nurse to improve pregnancy outcomes, improve infant health and development, and promote economic self-efficacy of families.",First-time expectant mothers,"Is pregnant with their first child, Is less than 28 weeks pregnant, Meets the income requirements, Is a resident of Tulare County",Not specified,Not specified,Unknown,https://tchhsa.org/eng/public-health/maternal-child-and-adolescent-health-mcah-program,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,Perinatal Wellness Program,UNMATCHED,The Perinatal Wellness Program assigns a case manager to women demonstrating signs of perinatal mood and anxiety disorders.,Pregnant women or less than one year post delivery,"Resident of Tulare County, Score of 12 or greater on EPDS or 10 or higher on PHQ-9 or GAD-7",Not specified,Not specified,Unknown,https://tchhsa.org/eng/public-health/maternal-child-and-adolescent-health-mcah-program,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,Prenatal Substance Exposure Program,UNMATCHED,The Prenatal Substance Exposure Program identifies pregnant women at risk for alcohol or drug exposure.,Pregnant women with substance use risk factors,"Resident of Tulare County, Positive urine drug screen or admission of substance use during pregnancy",Not specified,Not specified,Unknown,https://tchhsa.org/eng/public-health/maternal-child-and-adolescent-health-mcah-program,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,High-Risk Infant Program,UNMATCHED,The High-Risk Infant Program aids with accessing community early intervention services and medical care for infants.,Children from birth to one year of age,"Resident of Tulare County, Diagnosed failure to thrive or developmental delays",Not specified,Not specified,Unknown,https://tchhsa.org/eng/public-health/maternal-child-and-adolescent-health-mcah-program,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,Drug-Exposed Infant Program,UNMATCHED,The Drug Exposed Infant Program offers services for infants exposed to drugs or alcohol during pregnancy.,Infants or children from birth to one year of age,"Resident of Tulare County, Positive drug screen during prenatal care or at delivery",Not specified,Not specified,Unknown,https://tchhsa.org/eng/public-health/maternal-child-and-adolescent-health-mcah-program,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,Programa de Saúde Materno-Infantil e do Adolescente (MCAH),Tier 2 — State-wide,"O programa de Saúde Materno-Infantil e do Adolescente (MCAH) é um programa de visitas domiciliares que apoia a saúde e o bem-estar de mães, bebês, crianças e jovens.","Mães, bebês, crianças e jovens com necessidades especiais de saúde.",Not specified,Not specified,Not specified,Unknown,https://tchhsa.org/pt/eng/public-health/maternal-child-and-adolescent-health-mcah-program,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,Parceria Enfermeira-Família (NFP),Tier 3 — Selective,O programa Nurse-Family Partnership (Parceria Enfermeira-Família) oferece às gestantes de primeira viagem o acompanhamento de uma enfermeira de saúde pública para melhorar os resultados da gravidez.,Gestantes de primeira viagem residentes do Condado de Tulare.,"Está grávida do primeiro filho, com menos de 28 semanas de gravidez, atende aos requisitos de renda.",Not specified,Not specified,Unknown,https://tchhsa.org/pt/eng/public-health/maternal-child-and-adolescent-health-mcah-program,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,"Women, Infants & Children (WIC)",Tier 1 — Universal,"WIC is designed to help pregnant women, new mothers, and young children eat well and stay healthy.","Low-income pregnant, postpartum, and breastfeeding women; infants and children under five",Meet income guidelines; families with children under five who were previously on Healthy Families and now have Medi-Cal may be eligible,Contact WIC toll-free number for location and information,Not specified,Yes,https://tchhsa.org/eng/public-health/women-infants-children-wic/,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,Medi-Cal,Tier 1 — Universal,"Medi-Cal provides no- or low-cost health care for individuals, families with children, the elderly, persons with disabilities, foster care, pregnant women, and persons with specific diseases such as tuberculosis, breast cancer, or HIV/AIDS.",Pregnant women and low-income individuals,Meeting income thresholds; varies by state expansion status,"Applications may be submitted in person, by phone, by fax, or by mail.",Not specified,Yes,https://tchhsa.org/eng/human-services/medi-cal/,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,WIC Health Account Online,Tier 1 — Universal,WIC provides nutrition education and benefits to eligible participants.,"Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Create an account at wichealth.org,Not specified,Yes,https://tchhsa.org/eng/public-health/women-infants-children-wic/create-wic-health-account-online,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,Parents as Teachers,Selective,Program that provides parent educator home visits.,Expectant parents and families with children from birth through age 3 (or 5 in some cases).,Not specified,Not specified,Not specified,Unknown,https://tchhsa.org/eng/behavioral-health/,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,"Women, Infants & Children (WIC)",Tier 1 — Universal,"WIC is designed to help pregnant, new mothers, and young children eat well and stay healthy.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Must meet income guidelines; families with children under five who were previously in Healthy Families and now have Medi-Cal may qualify.,Contact WIC toll-free number for information and to find the nearest location.,Not specified,Yes,https://tchhsa.org/tl/eng/public-health/women-infants-children-wic,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,WIC Infant Formula Transition,Tier 1 — Universal,"California WIC transitioned from Enfamil to the Similac brand as of August 1, 2022.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://tchhsa.org/eng/public-health/women-infants-children-wic/breastfeeding,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,"Programa sa Kalusugan ng Ina, Bata, at Kabataan (MCAH)",Tier 2 — State-wide,"Ang Maternal, Child, and Adolescent Health (MCAH) ay isang programa sa pagbisita sa bahay na sumusuporta sa kalusugan at kapakanan ng mga ina, sanggol, bata, at kabataan.","Mga ina, sanggol, bata, at kabataan.",Not specified,Not specified,Not specified,Unknown,https://tchhsa.org/tl/eng/public-health/maternal-child-and-adolescent-health-mcah-program,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,Pakikipagtulungan ng Nars at Pamilya (NFP),Tier 3 — Selective,Ang Nurse-Family Partnership ay nagbibigay sa mga unang beses na nagdadalang-tao ng isang Public Health Nurse upang mapabuti ang mga resulta ng pagbubuntis.,Unang beses na nagdadalang-tao na mga kababaihan.,"Buntis sa kanilang unang anak, wala pang 28 linggong buntis, nakakatugon sa mga kinakailangan sa kita, residente ng Tulare County.",Not specified,Not specified,Unknown,https://tchhsa.org/tl/eng/public-health/maternal-child-and-adolescent-health-mcah-program,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,"Mujeres, bebés y niños (WIC)",Tier 1 — Universal,"El programa WIC está diseñado para ayudar a las mujeres embarazadas, las madres primerizas y los niños pequeños a alimentarse bien y mantenerse sanos.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",cumple con los requisitos de ingresos,Not specified,Not specified,Yes,https://tchhsa.org/es/esp/salud-publica/mujeres-beb%C3%A9s-ni%C3%B1os-wic,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,"Programa de Salud Materna, Infantil y Adolescente (MCAH)",Tier 2 — State-wide,"El programa de Salud Materna, Infantil y Adolescente (MCAH) es un programa de visitas domiciliarias que apoya la salud y el bienestar de madres, bebés, niños y jóvenes.","Madres, bebés, niños y jóvenes con necesidades especiales de atención médica.",Residencia en el condado de Tulare.,Not specified,Not specified,Unknown,https://tchhsa.org/es/esp/salud-publica/salud-materno-infantil-y-adolescente-programa-mcah,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,Programa de Bienestar Perinatal,Tier 3 — Selective,El Programa de Bienestar Perinatal asignará un gestor de casos a toda mujer que presente signos o síntomas de trastornos del estado de ánimo y ansiedad perinatales.,Mujeres embarazadas o con menos de un año de posparto.,Residencia en el condado de Tulare y puntuaciones específicas en herramientas de detección.,Not specified,Not specified,Unknown,https://tchhsa.org/es/esp/salud-publica/salud-materno-infantil-y-adolescente-programa-mcah,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,Programa de colaboración entre enfermeras y familias (NFP),Tier 3 — Selective,El programa Nurse-Family Partnership brinda a las mujeres primerizas el apoyo de una enfermera de salud pública para mejorar los resultados del embarazo.,Mujeres primerizas embarazadas.,"Residencia en el condado de Tulare, primer embarazo y menos de 28 semanas de embarazo.",Not specified,Not specified,Unknown,https://tchhsa.org/es/esp/salud-publica/salud-materno-infantil-y-adolescente-programa-mcah,2026-04-20,Swindar,
California,Tulare,https://tularecounty.ca.gov/,Tulare County Health & Human Services Agency,Not found,(559) 685-2275,Programa para bebés expuestos a drogas,Tier 3 — Selective,El Programa para Bebés Expuestos a Drogas ofrece servicios para bebés que estuvieron expuestos a drogas o alcohol durante el embarazo.,Bebés desde el nacimiento hasta el año de edad expuestos a drogas o alcohol.,Residencia en el condado de Tulare y factores de riesgo específicos.,Not specified,Not specified,Unknown,https://tchhsa.org/es/esp/salud-publica/salud-materno-infantil-y-adolescente-programa-mcah,2026-04-20,Swindar,
