State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Amador,https://www.amadorgov.org/,"Maternal, Child and Adolescent Health Division",clerkoftheboard@amadorcounty.gov,(209) 223-6491,Maternal Health,Maternal Health,Strives to ensure every woman in CA can experience a healthy pregnancy and delivery.,Women in California,Not specified,Not specified,Not specified,Unknown,https://www.amadorcounty.gov/services/public-health/aaaaa,2026-04-20,Swindar,No specific maternal health programs were detailed in the page content. No specific maternal health programs matched from the registry.
California,Amador,https://www.amadorgov.org/,"Maternal, Child and Adolescent Health Division",clerkoftheboard@amadorcounty.gov,(209) 223-6491,Healthy Families,Maternal Health,Strives to support families with newborns up to 3 months; stress and risk-factor screening at birth.,Families with newborns,Not specified,Not specified,Not specified,Unknown,https://www.amadorcounty.gov/services/public-health/aaaaa,2026-04-20,Swindar,No specific maternal health programs were detailed in the page content. No specific maternal health programs matched from the registry.
California,Amador,https://www.amadorgov.org/,"Maternal, Child and Adolescent Health Division",clerkoftheboard@amadorcounty.gov,(209) 223-6491,UNMATCHED,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Unknown,https://www.amadorcounty.gov/departments/planning/current-projects/wicklow-way-specific-plan,2026-04-20,Swindar,No specific maternal health programs were detailed in the page content. No specific maternal health programs matched from the registry.
California,Amador,https://www.amadorgov.org/,"Maternal, Child and Adolescent Health Division",clerkoftheboard@amadorcounty.gov,(209) 223-6491,Alliance for Innovation on Maternal Health,Selective,Birthing hospitals and obstetric providers; indirectly serves all pregnant women.,All pregnant women,Not specified,Not specified,Not specified,Unknown,https://www.amadorcounty.gov/about/privacy-policy-and-disclaimer,2026-04-20,Swindar,No specific maternal health programs were detailed in the page content. No specific maternal health programs matched from the registry.
California,Amador,https://www.amadorgov.org/,"Maternal, Child and Adolescent Health Division",clerkoftheboard@amadorcounty.gov,(209) 223-6491,Amador Patient Navigator Program,Selective,The Amador Patient Navigator Program is a free service designed to connect residents with the support they need most.,"Residents of Amador County, including uninsured/underinsured individuals",Not specified,Not specified,Not specified,Unknown,https://www.amadorcounty.gov/services/amador-patient-navigator,2026-04-20,Swindar,No specific maternal health programs were detailed in the page content. No specific maternal health programs matched from the registry.
California,Amador,https://www.amadorgov.org/,"Maternal, Child and Adolescent Health Division",clerkoftheboard@amadorcounty.gov,(209) 223-6491,Amador Women Infant & Children (WIC) Services,Tier 1 — Universal,"WIC provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.amadorcounty.gov/services/public-health/maternal-child-adolescent-health-mcah/maternal-health-3580,2026-04-20,Swindar,No specific maternal health programs were detailed in the page content. No specific maternal health programs matched from the registry.
California,Amador,https://www.amadorgov.org/,"Maternal, Child and Adolescent Health Division",clerkoftheboard@amadorcounty.gov,(209) 223-6491,Parents as Teachers,Tier 3 — Selective,Expectant parents and families with children from birth through age 3 (or 5 in some cases).,Expectant parents and families with children from birth through age 3.,Not specified,Not specified,Not specified,Unknown,https://www.amadorcounty.gov/government/board-of-supervisors/district-1-patrick-crew,2026-04-20,Swindar,No specific maternal health programs were detailed in the page content. No specific maternal health programs matched from the registry.
California,Amador,https://www.amadorgov.org/,"Maternal, Child and Adolescent Health Division",clerkoftheboard@amadorcounty.gov,(209) 223-6491,Home Visiting,Not specified,"Enrollment is always free and voluntary, space is limited.",Not specified,Not specified,"To apply, please fill out the Interest Form",Not specified,Unknown,https://www.amadorcounty.gov/services/public-health/home-visiting,2026-04-20,Swindar,No specific maternal health programs were detailed in the page content. No specific maternal health programs matched from the registry.
California,Amador,https://www.amadorgov.org/,"Maternal, Child and Adolescent Health Division",clerkoftheboard@amadorcounty.gov,(209) 223-6491,Parents as Teachers,Selective,"Their mission is to promote, support, and enhance the optimal development of Amador County's children from zero to five years of age.",Expectant parents and families with children from birth through age 3 (or 5 in some cases),Not specified,Not specified,Not specified,Unknown,https://www.amadorcounty.gov/services/public-health/maternal-child-adolescent-health-mcah/infant-health,2026-04-20,Swindar,No specific maternal health programs were detailed in the page content. No specific maternal health programs matched from the registry.
California,Amador,https://www.amadorgov.org/,"Maternal, Child and Adolescent Health Division",clerkoftheboard@amadorcounty.gov,(209) 223-6491,Medi-Cal,Tier 1 — Universal,Medi-Cal is California’s Medicaid Program providing health care services for low-income individuals including pregnant women.,Low-income pregnant women and families,Families of any size meeting income guidelines; pregnant individuals.,"Applications can be requested by Phone, In-Person, via US Mail or online.",Not specified,Yes,https://www.amadorcounty.gov/services/public-health/medi-cal-resources,2026-04-20,Swindar,No specific maternal health programs were detailed in the page content. No specific maternal health programs matched from the registry.
California,Amador,https://www.amadorgov.org/,"Maternal, Child and Adolescent Health Division",clerkoftheboard@amadorcounty.gov,(209) 223-6491,Parents as Teachers,Selective,A program that provides parent educator home visits.,Expectant parents and families with children from birth through age 3 (or 5 in some cases).,Not specified,Not specified,Not specified,Unknown,https://www.amadorcounty.gov/government/clerk-of-the-board/board-meetings-how-to-participate,2026-04-20,Swindar,No specific maternal health programs were detailed in the page content. No specific maternal health programs matched from the registry.
