State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Fresno,https://www.co.fresno.ca.us/,Clinica Sierra Vista - North Fine Community Health Center WIC,CodeEnforcement@fresnocountyca.gov,(800) 472-2321,WIC Program,Tier 1 — Universal,WIC is a program that provides supplemental foods for low-income breastfeeding or expectant women and their preschool children.,"Low-income pregnant, postpartum, and breastfeeding women; infants and children",Must meet low-income criteria and health assessment by a professional.,Contact your state agency to reserve an appointment.,Not specified,Yes,https://wicprogram.us/about,2026-04-20,Swindar,No maternal health programs found on the page. The program MCAH is mentioned but does not match any specific program_id from the registry.
California,Fresno,https://www.co.fresno.ca.us/,Clinica Sierra Vista - North Fine Community Health Center WIC,CodeEnforcement@fresnocountyca.gov,(800) 472-2321,WIC,Tier 1 — Universal,"WIC offers support for breastfeeding and formula feeding, providing resources and guidance for mothers.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/resources/breastfeeding-vs-formula-what-wic-moms-need-to-know,2026-04-20,Swindar,No maternal health programs found on the page. The program MCAH is mentioned but does not match any specific program_id from the registry.
California,Fresno,https://www.co.fresno.ca.us/,Clinica Sierra Vista - North Fine Community Health Center WIC,CodeEnforcement@fresnocountyca.gov,(800) 472-2321,WIC Program,Tier 1 — Universal,"WIC, the Women, Infants, and Children Program, is a nutrition education and food supplement program that helps lower income pregnant women, new mothers, infants and young children eat well and stay healthy.","Low-income pregnant women, new mothers, infants and young children",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/wic-programs-state/california,2026-04-20,Swindar,No maternal health programs found on the page. The program MCAH is mentioned but does not match any specific program_id from the registry.
California,Fresno,https://www.co.fresno.ca.us/,Clinica Sierra Vista - North Fine Community Health Center WIC,CodeEnforcement@fresnocountyca.gov,(800) 472-2321,"Women, Infants, and Children (WIC)",Tier 1 — Universal,"WIC is a nutrition program that helps pregnant & breastfeeding women, infants, and children under 5 years of age.","Low-income pregnant, postpartum, and breastfeeding women; infants and children under 5 years of age.",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/wic-program-provider/clinica_sierra_vista_elm_community_health_center_wic_fresno_ca,2026-04-20,Swindar,No maternal health programs found on the page. The program MCAH is mentioned but does not match any specific program_id from the registry.
California,Fresno,https://www.co.fresno.ca.us/,Clinica Sierra Vista - North Fine Community Health Center WIC,CodeEnforcement@fresnocountyca.gov,(800) 472-2321,"Women, Infants, and Children (WIC)",Tier 1 — Universal,"WIC is a nutrition program that helps pregnant & breastfeeding women, infants, and children under 5 years of age.","Low-income pregnant, postpartum, and breastfeeding women; infants and children under 5 years of age.",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/wic-program-provider/clinica_sierra_vista_north_fine_community_health_center_wic_fresno_ca,2026-04-20,Swindar,No maternal health programs found on the page. The program MCAH is mentioned but does not match any specific program_id from the registry.
California,Fresno,https://www.co.fresno.ca.us/,Clinica Sierra Vista - North Fine Community Health Center WIC,CodeEnforcement@fresnocountyca.gov,(800) 472-2321,"Women, Infants, and Children (WIC)",Tier 1 — Universal,"WIC is a nutrition program that helps pregnant & breastfeeding women, infants, and children under 5 years of age.","Low-income pregnant, postpartum, and breastfeeding women; infants and children under 5 years of age.",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/wic-program-provider/clinica_sierra_vista_orange_and_butler_community_health_center_wic_fresno_ca,2026-04-20,Swindar,No maternal health programs found on the page. The program MCAH is mentioned but does not match any specific program_id from the registry.
California,Fresno,https://www.co.fresno.ca.us/,Clinica Sierra Vista - North Fine Community Health Center WIC,CodeEnforcement@fresnocountyca.gov,(800) 472-2321,"Women, Infants, and Children (WIC)",Tier 1 — Universal,"WIC is a nutrition program that helps pregnant & breastfeeding women, infants, and children under 5 years of age.","Low-income pregnant, postpartum, and breastfeeding women; infants and children under 5 years of age.",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/wic-program-provider/clinica_sierra_vista_west_fresno_community_health_center_wic_fresno_ca,2026-04-20,Swindar,No maternal health programs found on the page. The program MCAH is mentioned but does not match any specific program_id from the registry.
California,Fresno,https://www.co.fresno.ca.us/,Clinica Sierra Vista - North Fine Community Health Center WIC,CodeEnforcement@fresnocountyca.gov,(800) 472-2321,"Women, Infants, and Children (WIC)",Tier 1 — Universal,"WIC is a nutrition program that helps pregnant & breastfeeding women, infants, and children under 5 years of age.","Low-income pregnant, postpartum, and breastfeeding women; infants and children under 5 years of age.",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/wic-program-provider/clinica_sierra_vista_west_shaw_community_health_center_wic_fresno_ca,2026-04-20,Swindar,No maternal health programs found on the page. The program MCAH is mentioned but does not match any specific program_id from the registry.
California,Fresno,https://www.co.fresno.ca.us/,Clinica Sierra Vista - North Fine Community Health Center WIC,CodeEnforcement@fresnocountyca.gov,(800) 472-2321,WIC Program,Tier 1 — Universal,"Special Supplemental Nutrition Program for Women, Infants, and Children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/contact,2026-04-20,Swindar,No maternal health programs found on the page. The program MCAH is mentioned but does not match any specific program_id from the registry.
California,Fresno,https://www.co.fresno.ca.us/,Clinica Sierra Vista - North Fine Community Health Center WIC,CodeEnforcement@fresnocountyca.gov,(800) 472-2321,California WIC Program,Tier 1 — Universal,"WIC provides nutritious foods, nutrition education, and referrals to health care and other social services for low-income pregnant women and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/wic-program-provider/fresno_eoc_wic_ashlan_and_west_fresno_ca,2026-04-20,Swindar,No maternal health programs found on the page. The program MCAH is mentioned but does not match any specific program_id from the registry.
