State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Black Infant Health Program (BIH),Selective,"The San Diego County Black Infant Health Program (BIH) works to improve African-American infant and maternal health, as well as decrease Black-White health and social inequities for women and infants.",Pregnant African-American women,16 years of age or older,"If you are eligible and would like to learn more about enrolling in BIH, please fill out the form of your area or call BIH at 619-266-7466.",Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/black_infant_health_program.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,County Medical Services,Maternal Health,A program that funds medical care for uninsured indigent adult county residents.,Uninsured indigent adult county residents,Not specified,Not specified,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/county_medical_services.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Black Infant Health (BIH) Program,Tier 3 — Selective,A program dedicated to addressing the health disparities faced by Black/African American women and their infants.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/maternal_child_family_health_services.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Perinatal Care Network (PCN),Tier 3 — Selective,A network that provides services to high-risk pregnant women on Medi-Cal.,High-risk pregnant women on Medi-Cal,Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/maternal_child_family_health_services.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Perinatal Care Network (PCN),Tier 3 — Selective,The Perinatal Care Network provides services for high-risk pregnant women on Medi-Cal.,High-risk pregnant women on Medi-Cal,Not specified,Not specified,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/maternal_child_family_health_services/MCFHSstatistics.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Medi-Cal,Tier 1 — Universal,Medi-Cal is California's Medicaid program that provides free or low-cost health coverage to children and adults.,California residents who are otherwise eligible.,Immigration status does not matter; must meet eligibility criteria.,How to Apply for Medi-Cal,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/medi-cal_program.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Perinatal Care Network (PCN),Tier 3 — Selective,"PCN is a toll-free phone line that links families eligible for pregnancy-related Medi-Cal to care, aiming to decrease barriers to accessing prenatal services.",Pregnant women eligible for Medi-Cal,Eligibility for pregnancy-related Medi-Cal,Call 1-800-675-2229,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/perinatal_care_network.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Black Infant Health (BIH),Tier 3 — Selective,Improves the health of African-American mothers and babies through prenatal and postpartum group and individualized support.,African-American mothers and babies,Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/perinatal_care_network.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,"Women, Infants, and Children (WIC)",Tier 1 — Universal,"WIC provides healthy foods, nutrition education, and breastfeeding support for pregnant, breastfeeding, or postpartum women and children under five.","Pregnant, breastfeeding, or postpartum women and children under five",Not specified,Not specified,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/perinatal_care_network.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Perinatal Equity Initiative (PEI),Selective,The Perinatal Equity Initiative (PEI) aims to improve birth and maternal health outcomes for African-American families in San Diego County by addressing social injustices and health inequities.,African-American families in San Diego County,Not specified,Not specified,Not specified,Unknown,https://blacklegacynowsd.com/?msclkid=bc9739eabd0411ec8c2a1f6b894251d0,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Nurse Home Visitation Programs,Selective,"Provides nurse home visitation services to low income, first-time mothers prior to their 28th week of pregnancy; as well as services to high risk infants, pregnant or postpartum women and their children.","Low income, first-time mothers and high risk infants, pregnant or postpartum women and their children.",Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/facilities/central/central_region_public_health_center.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Perinatal Care Network,Tier 2 — State-wide,The Perinatal Care Network (PCN) links families eligible for pregnancy-related Medi-Cal to care and aims to decrease barriers to accessing prenatal services.,Pregnant women eligible for Medi-Cal,Eligibility for pregnancy-related Medi-Cal,Call 1-800-675-2229,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/perinatal_care_network.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Black Infant Health,Tier 3 — Selective,Improves the health of African-American mothers and babies through prenatal and postpartum group and individualized support.,African-American mothers and babies,Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/perinatal_care_network.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Healthy Start Program,Tier 2 — State-wide,"Provides free prenatal and childbirth education, postpartum, and breastfeeding support with a focus on Black families in San Diego County.",High-risk pregnant women and families,Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/perinatal_care_network.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Medi-Cal,Tier 1 — Universal,Medi-Cal provides health coverage for pregnant individuals.,Pregnant individuals meeting income thresholds; varies by state expansion status,Income thresholds apply,Not specified,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/office_of_vital_records_and_statistics/birth_certificates_faq.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Parents as Teachers,Tier 3 — Selective,Parents as Teachers provides home visits to support expectant parents and families.,Expectant parents and families with children from birth through age 3 (or 5 in some cases),Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/office_of_vital_records_and_statistics/birth_certificates_faq.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Sudden Infant Death Syndrome (SIDS),"Maternal, Child, and Adolescent Health (MCAH)","The Sudden Infant Death Syndrome (SIDS) program focuses on providing education about SIDS, grief counseling, and what can be done to reduce the risk of SIDS.",Families and caregivers of infants,Not specified,Not specified,Not specified,No,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/Sudden_Infant_Death_Syndrome.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Black Infant Health (BIH),"Maternal, Child, and Adolescent Health (MCAH)",The Black Infant Health program addresses the higher rates of infant mortality among Black/African American women.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,No,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/Sudden_Infant_Death_Syndrome.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Fetal and Infant Mortality Review (FIMR),"Maternal, Child, and Adolescent Health (MCAH)",The Fetal and Infant Mortality Review program works to understand healthcare systems and social problems that contribute to preventable fetal and infant deaths.,Not specified,Not specified,Not specified,Not specified,No,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/Sudden_Infant_Death_Syndrome.html,2026-04-20,Swindar,
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,bih@neighborhoodhouse.org,(619) 266-7466,Perinatal Care Network (PCN),"Maternal, Child, and Adolescent Health (MCAH)",The Perinatal Care Network provides services for high-risk pregnant women on Medi-Cal.,High-risk pregnant women,Must be on Medi-Cal,Not specified,Not specified,No,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/Sudden_Infant_Death_Syndrome.html,2026-04-20,Swindar,
