State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Santa Clara,https://www.sccgov.org/,"Maternal, Child and Adolescent Health Division",[email protected],(408) 937-2250,California Home Visiting Program,Tier 2 — State-wide,The California Home Visiting Program provides support to families through home visiting services.,Pregnant women and parents with children 0-5 in at-risk communities; low-income.,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/CHVP/Pages/default.aspx,2026-04-20,Swindar,"The program mentioned is not directly listed in the federal/state program registry. No direct match to registry programs found. Only one program mentioned, which does not match any registry program_id."
California,Santa Clara,https://www.sccgov.org/,"Maternal, Child and Adolescent Health Division",[email protected],(408) 937-2250,Black Infant Health Program,Tier 3 — Selective,The Black Infant Health Program addresses the higher rates of infant mortality among Black/African American women.,Black/African American women of childbearing age.,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/CHVP/Pages/default.aspx,2026-04-20,Swindar,"The program mentioned is not directly listed in the federal/state program registry. No direct match to registry programs found. Only one program mentioned, which does not match any registry program_id."
California,Santa Clara,https://www.sccgov.org/,"Maternal, Child and Adolescent Health Division",[email protected],(408) 937-2250,Regional Perinatal Programs of California,Tier 3 — Selective,The Regional Perinatal Programs provide specialized care for high-risk pregnant women.,High-risk pregnant women on Medi-Cal.,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/CHVP/Pages/default.aspx,2026-04-20,Swindar,"The program mentioned is not directly listed in the federal/state program registry. No direct match to registry programs found. Only one program mentioned, which does not match any registry program_id."
California,Santa Clara,https://www.sccgov.org/,"Maternal, Child and Adolescent Health Division",[email protected],(408) 937-2250,Fetal and Infant Mortality Review,Tier 3 — Selective,The Fetal and Infant Mortality Review program conducts reviews to understand and reduce fetal and infant mortality.,Indirectly benefits all pregnant women.,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/CHVP/Pages/default.aspx,2026-04-20,Swindar,"The program mentioned is not directly listed in the federal/state program registry. No direct match to registry programs found. Only one program mentioned, which does not match any registry program_id."
California,Santa Clara,https://www.sccgov.org/,"Maternal, Child and Adolescent Health Division",[email protected],(408) 937-2250,Comprehensive Perinatal Services Program,Maternal Health,The Comprehensive Perinatal Services Program provides a range of services to support pregnant individuals and their families.,Pregnant individuals and families,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/CPSP/Pages/default.aspx,2026-04-20,Swindar,"The program mentioned is not directly listed in the federal/state program registry. No direct match to registry programs found. Only one program mentioned, which does not match any registry program_id."
California,Santa Clara,https://www.sccgov.org/,"Maternal, Child and Adolescent Health Division",[email protected],(408) 937-2250,Black Infant Health Program,Maternal Health,The Black Infant Health Program addresses the higher rates of infant mortality among Black/African American women.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/CPSP/Pages/default.aspx,2026-04-20,Swindar,"The program mentioned is not directly listed in the federal/state program registry. No direct match to registry programs found. Only one program mentioned, which does not match any registry program_id."
California,Santa Clara,https://www.sccgov.org/,"Maternal, Child and Adolescent Health Division",[email protected],(408) 937-2250,Fetal and Infant Mortality Review,Maternal Health,The Fetal and Infant Mortality Review program conducts retrospective reviews of fetal and infant deaths.,Not specified,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/CPSP/Pages/default.aspx,2026-04-20,Swindar,"The program mentioned is not directly listed in the federal/state program registry. No direct match to registry programs found. Only one program mentioned, which does not match any registry program_id."
California,Santa Clara,https://www.sccgov.org/,"Maternal, Child and Adolescent Health Division",[email protected],(408) 937-2250,California Home Visiting Program,Maternal Health,The California Home Visiting Program provides home visiting services to pregnant women and parents with young children.,Pregnant women and parents with children 0-5 in at-risk communities,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/CPSP/Pages/default.aspx,2026-04-20,Swindar,"The program mentioned is not directly listed in the federal/state program registry. No direct match to registry programs found. Only one program mentioned, which does not match any registry program_id."
California,Santa Clara,https://www.sccgov.org/,"Maternal, Child and Adolescent Health Division",[email protected],(408) 937-2250,California Home Visiting Program,Tier 2 — State-wide,The California Home Visiting Program provides support to families through home visiting services.,Pregnant women and parents with children 0-5 in at-risk communities; low-income.,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/CHVP/Pages/CHVP-23-04.aspx,2026-04-20,Swindar,"The program mentioned is not directly listed in the federal/state program registry. No direct match to registry programs found. Only one program mentioned, which does not match any registry program_id."
California,Santa Clara,https://www.sccgov.org/,"Maternal, Child and Adolescent Health Division",[email protected],(408) 937-2250,Black Infant Health Program,Tier 3 — Selective,The Black Infant Health Program addresses the higher rates of infant mortality among Black/African American women.,Black/African American women of childbearing age.,Not specified,Not specified,Not specified,Unknown,https://www.cdph.ca.gov/Programs/CFH/DMCAH/CHVP/Pages/CHVP-23-04.aspx,2026-04-20,Swindar,"The program mentioned is not directly listed in the federal/state program registry. No direct match to registry programs found. Only one program mentioned, which does not match any registry program_id."
