State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Contra Costa,https://www.contracosta.ca.gov/,Contra Costa Health,healtheducation@cchealth.org,800-696-9644,Black Infant Health Support,Selective,Program aimed at addressing the health disparities faced by Black infants and their mothers.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,https://www.cchealth.org/services-and-programs/support-for-families/family-maternal-child-health-fmch,2026-04-20,Swindar,No maternal health programs explicitly mentioned; the program is focused on transgender and non-binary health.
California,Contra Costa,https://www.contracosta.ca.gov/,Contra Costa Health,healtheducation@cchealth.org,800-696-9644,Nurse Family Partnership,Selective,"Home visiting program that provides support to first-time, low-income pregnant women.","First-time, low-income pregnant women",Enrolled by 28 weeks gestation,Not specified,Not specified,Unknown,https://www.cchealth.org/services-and-programs/support-for-families/family-maternal-child-health-fmch,2026-04-20,Swindar,No maternal health programs explicitly mentioned; the program is focused on transgender and non-binary health.
California,Contra Costa,https://www.contracosta.ca.gov/,Contra Costa Health,healtheducation@cchealth.org,800-696-9644,Medi-Cal,Tier 1 — Universal,"Medi-Cal provides medical, dental, and vision insurance to low-income families in California.","Low-income families in California, including pregnant individuals.",Must live in California and be income eligible or meet other qualifying requirements.,Call toll-free 1-800-709-8348 in Contra Costa County or visit the Contra Costa Employment and Human Services Department Medi-Cal website.,Not specified,Yes,https://www.cchealth.org/health-insurance/get-insured/medi-cal,2026-04-20,Swindar,No maternal health programs explicitly mentioned; the program is focused on transgender and non-binary health.
California,Contra Costa,https://www.contracosta.ca.gov/,Contra Costa Health,healtheducation@cchealth.org,800-696-9644,California WIC Card,Tier 1 — Universal,"The WIC Card provides an easy way to issue food benefits, as well as improves the shopping experience for WIC families and grocers.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.cchealth.org/services-and-programs/support-for-families/wic/california-wic-card,2026-04-20,Swindar,No maternal health programs explicitly mentioned; the program is focused on transgender and non-binary health.
California,Contra Costa,https://www.contracosta.ca.gov/,Contra Costa Health,healtheducation@cchealth.org,800-696-9644,Parents as Teachers,Selective,Expectant parents and families with children from birth through age 3 (or 5 in some cases) receive support.,Expectant parents and families with children from birth through age 3,Not specified,Not specified,Not specified,Unknown,https://www.cchealth.org/get-care/healthcare-locations/contra-costa-regional-medical-center/quality-patient-safety,2026-04-20,Swindar,No maternal health programs explicitly mentioned; the program is focused on transgender and non-binary health.
California,Contra Costa,https://www.contracosta.ca.gov/,Contra Costa Health,healtheducation@cchealth.org,800-696-9644,Perinatal Depression & Anxiety,Selective,"This program provides support for individuals experiencing perinatal depression and anxiety, offering resources and guidance for treatment.",Expectant parents and families with children from birth through age 3 (or 5 in some cases),Not specified,Not specified,Not specified,Unknown,https://www.cchealth.org/services-and-programs/support-for-families/wic/perinatal-depression-anxiety,2026-04-20,Swindar,No maternal health programs explicitly mentioned; the program is focused on transgender and non-binary health.
California,Contra Costa,https://www.contracosta.ca.gov/,Contra Costa Health,healtheducation@cchealth.org,800-696-9644,Prenatal Care,Universal,Prenatal care services provided to support pregnant individuals.,Pregnant individuals,Not specified,Not specified,Not specified,Yes,https://www.cchealth.org/get-care/healthcare-locations/health-centers,2026-04-20,Swindar,No maternal health programs explicitly mentioned; the program is focused on transgender and non-binary health.
California,Contra Costa,https://www.contracosta.ca.gov/,Contra Costa Health,healtheducation@cchealth.org,800-696-9644,Maternity Care,UNMATCHED,Comprehensive maternity care services offered.,Pregnant individuals,Not specified,Not specified,Not specified,Yes,https://www.cchealth.org/get-care/healthcare-locations/health-centers,2026-04-20,Swindar,No maternal health programs explicitly mentioned; the program is focused on transgender and non-binary health.
California,Contra Costa,https://www.contracosta.ca.gov/,Contra Costa Health,healtheducation@cchealth.org,800-696-9644,Black Infant Health Support,Tier 3 — Selective,The Black Infant Health (BIH) program works to improve Black infant and maternal health in Contra Costa County and to decrease disparities for Black women and infants.,Black/African American women of childbearing age; addresses 3-4x higher Black maternal and infant health disparities.,"Contra Costa County residents, Identify as Black, Age 16 or older, Currently pregnant or baby is less than 6 months old","Call 1-800-696-9644, Fill out the FMCH Referral Form, Ask your health care provider for a referral",Not specified,Yes,https://www.cchealth.org/services-and-programs/support-for-families/black-infant-health-support,2026-04-20,Swindar,No maternal health programs explicitly mentioned; the program is focused on transgender and non-binary health.
California,Contra Costa,https://www.contracosta.ca.gov/,Contra Costa Health,healtheducation@cchealth.org,800-696-9644,Parents as Teachers,Selective,Expectant parents and families with children from birth through age 3 (or 5 in some cases).,Expectant parents and families with children from birth through age 3.,Not specified,Not specified,Not specified,Unknown,https://www.cchealth.org/get-care/medical-center-services/patient-cost-estimates,2026-04-20,Swindar,No maternal health programs explicitly mentioned; the program is focused on transgender and non-binary health.
