State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Napa,https://www.countyofnapa.org/,Health and Human Services Agency (HHSA),Not found,707-253-4853,"Women, Infants & Children",Tier 1 — Universal,"Special Supplemental Nutrition Program for Women, Infants, and Children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.napacounty.gov/Directory.aspx?DID=93,2026-04-20,Swindar,
California,Napa,https://www.countyofnapa.org/,Health and Human Services Agency (HHSA),Not found,707-253-4853,Maternal Child Adolescent Health (MCAH) Home Visiting Program,Tier 2 — State-wide,The MCAH Home Visiting program utilizes a Trauma Informed Approach to make home visits to income eligible pregnant women and families parenting a child under 5 years of age.,Income eligible pregnant women and families parenting a child under 5 years of age.,Income eligibility,Complete the Home Visiting Referral Form,Not specified,Unknown,https://www.napacounty.gov/3237/Home-Visiting-Programs,2026-04-20,Swindar,
California,Napa,https://www.countyofnapa.org/,Health and Human Services Agency (HHSA),Not found,707-253-4853,Nurse-Family Partnership (NFP) Program,Tier 3 — Selective,NFP is a nurse home visiting program that empowers first time moms to transform their lives and create better futures for themselves and their babies.,First-time moms during pregnancy until the child's second birthday.,First-time moms,Not specified,Not specified,Unknown,https://www.napacounty.gov/3237/Home-Visiting-Programs,2026-04-20,Swindar,
California,Napa,https://www.countyofnapa.org/,Health and Human Services Agency (HHSA),Not found,707-253-4853,"Women, Infants, and Children (WIC)",Tier 1 — Universal,"WIC provides resources and support for low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.napacounty.gov/453/Perinatal-Outreach-Education,2026-04-20,Swindar,
California,Napa,https://www.countyofnapa.org/,Health and Human Services Agency (HHSA),Not found,707-253-4853,Medi-Cal,Tier 1 — Universal,Medi-Cal provides prenatal and pregnancy coverage for eligible individuals.,Pregnant individuals meeting income thresholds,Varies by state expansion status,Not specified,Not specified,Yes,https://www.napacounty.gov/453/Perinatal-Outreach-Education,2026-04-20,Swindar,
California,Napa,https://www.countyofnapa.org/,Health and Human Services Agency (HHSA),Not found,707-253-4853,Parents as Teachers,Tier 3 — Selective,Parents as Teachers provides support and education for expectant parents and families with young children.,Expectant parents and families with children from birth through age 3,Not specified,Not specified,Not specified,Unknown,https://www.napacounty.gov/453/Perinatal-Outreach-Education,2026-04-20,Swindar,
California,Napa,https://www.countyofnapa.org/,Health and Human Services Agency (HHSA),Not found,707-253-4853,"Women, Infants & Children",Tier 1 — Universal,"Special Supplemental Nutrition Program for Women, Infants, and Children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.napacounty.gov/Directory.aspx?DID=93,2026-04-20,Swindar,
California,Napa,https://www.countyofnapa.org/,Health and Human Services Agency (HHSA),Not found,707-253-4853,"Women, Infants, and Children (WIC)",Tier 1 — Universal,"WIC provides resources and support for low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.napacounty.gov/453/Perinatal-Outreach-Education,2026-04-20,Swindar,
California,Napa,https://www.countyofnapa.org/,Health and Human Services Agency (HHSA),Not found,707-253-4853,Medi-Cal,Tier 1 — Universal,Medi-Cal provides prenatal and pregnancy coverage for eligible individuals.,Pregnant individuals meeting income thresholds,Varies by state expansion status,Not specified,Not specified,Yes,https://www.napacounty.gov/453/Perinatal-Outreach-Education,2026-04-20,Swindar,
California,Napa,https://www.countyofnapa.org/,Health and Human Services Agency (HHSA),Not found,707-253-4853,Parents as Teachers,Tier 3 — Selective,Parents as Teachers provides support and education for expectant parents and families with young children.,Expectant parents and families with children from birth through age 3,Not specified,Not specified,Not specified,Unknown,https://www.napacounty.gov/453/Perinatal-Outreach-Education,2026-04-20,Swindar,
California,Napa,https://www.countyofnapa.org/,Health and Human Services Agency (HHSA),Not found,707-253-4853,"Women, Infants, and Children (WIC)",Tier 1 — Universal,"WIC is a national nutrition education program that promotes healthy eating, encourages and supports breastfeeding, and provides referrals to health and community resources.","Low-income pregnant, postpartum, and breastfeeding women; infants and children under five years of age.",Meet the WIC income guidelines and provide documentation that you live in California.,Call WIC to be screened over the phone or come into the clinic to meet with a staff member.,Documents needed to prove residency in California.,Yes,https://www.napacounty.gov/883/Women-Infants-and-Children-WIC,2026-04-20,Swindar,
