State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Sacramento,https://www.saccounty.net/,Not found,Not found,Not found,"Women, Infants & Children (WIC) Program",Nutrition,"Supplemental nutrition program providing food benefits, nutrition education, and breastfeeding support.","Pregnant women, new mothers, and infants",Not specified,Not specified,Not specified,Yes,https://dhs.saccounty.gov/PUB/Pages/Maternal-Adolescent-Health/GI-Breastfeeding-Resources.aspx,2026-02-11,Swindar,Not a maternal health program Not a maternal health program Extracted WIC program as a maternal health program. Not a maternal health program Data extracted from the Sacramento County WIC program page. Program focuses on maternal mental health support.
California,Sacramento,https://www.saccounty.net/,Not found,Not found,Not found,WIC Program,Nutrition,"The Sacramento County WIC program helps pregnant women, new moms, and young children eat well, stay healthy, and be active.","Pregnant women, new mothers, and young children",You are pregnant now or within the last six months and/or you have a child under the age of five years.,"By appointment only, call (916) 876-5000 for details.",Not specified,Yes,https://dhs.saccounty.gov/PRI/WIC/Pages/Women-Infants-and-Children-Home.aspx,2026-02-11,Swindar,Not a maternal health program Not a maternal health program Extracted WIC program as a maternal health program. Not a maternal health program Data extracted from the Sacramento County WIC program page. Program focuses on maternal mental health support.
California,Sacramento,https://www.saccounty.net/,Not found,Not found,Not found,Maternal Mental Health Collaborative,Behavioral Health,Connect to Care for Maternal Mental Health with Bemomaware.,Pregnant women and new mothers,Not specified,Not specified,Not specified,Unknown,http://www.bemomaware.com/,2026-02-11,Swindar,Not a maternal health program Not a maternal health program Extracted WIC program as a maternal health program. Not a maternal health program Data extracted from the Sacramento County WIC program page. Program focuses on maternal mental health support.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Black Infant Health (BIH) Program,Health Equity,"California program addressing African American infant mortality through culturally-specific group education, peer support, and case management.",African American mothers and infants,Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs.html,2026-02-11,Swindar,Not a maternal health program Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Not a maternal health program Data extracted from the content provided; additional details about the program's services and application process were not specified. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,"Maternal, Child, and Family Health Services (MCFHS)",Maternal Child Health,"Services aimed at improving the health of mothers, infants, and children.","Pregnant women, new mothers, and infants",Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs.html,2026-02-11,Swindar,Not a maternal health program Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Not a maternal health program Data extracted from the content provided; additional details about the program's services and application process were not specified. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Perinatal Equity Initiative (PEI),Health Equity,The Perinatal Equity Initiative aims to improve birth and maternal health outcomes for African-American families in San Diego County by addressing systemic injustices and health disparities.,"African-American families, pregnant women, new mothers",Not specified,Not specified,Not specified,Unknown,https://blacklegacynowsd.com/?msclkid=bc9739eabd0411ec8c2a1f6b894251d0,2026-02-11,Swindar,Not a maternal health program Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Not a maternal health program Data extracted from the content provided; additional details about the program's services and application process were not specified. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Perinatal Care Network (PCN),Perinatal Care,"PCN is a toll-free phone line that links families eligible for pregnancy-related Medi-Cal to care, ensuring access to early and continuous prenatal care and other necessary services.",Pregnant women,Eligibility for pregnancy-related Medi-Cal,Call 1-800-675-2229,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/perinatal_care_network.html,2026-02-11,Swindar,Not a maternal health program Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Not a maternal health program Data extracted from the content provided; additional details about the program's services and application process were not specified. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Home Visiting Program,Home Visiting,"Public Health Nurses provide home visitation to support high-risk pregnant, postpartum, and first-time moms.","High-risk pregnant women, postpartum women, first-time mothers",Not specified,Call 1-619-285-6480,Not specified,Unknown,Not specified,2026-02-11,Swindar,Not a maternal health program Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Not a maternal health program Data extracted from the content provided; additional details about the program's services and application process were not specified. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Black Infant Health (BIH),Health Equity,Improves the health of African-American mothers and babies through prenatal and postpartum group and individualized support.,African-American mothers and babies,Not specified,Not specified,Not specified,Unknown,Not specified,2026-02-11,Swindar,Not a maternal health program Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Not a maternal health program Data extracted from the content provided; additional details about the program's services and application process were not specified. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Global Communities Healthy Start,Community Health,"Free prenatal and childbirth education, postpartum, and breastfeeding support with a focus on Black families in San Diego County.",Black families,Not specified,Not specified,Not specified,Unknown,Not specified,2026-02-11,Swindar,Not a maternal health program Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Not a maternal health program Data extracted from the content provided; additional details about the program's services and application process were not specified. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
