State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Solano,https://www.solanocounty.com/,Solano Public Health,webdevelopment@solanocounty.gov,877-680-2229,"Women, Infant, & Children (WIC)",Tier 1 — Universal,"Special Supplemental Nutrition Program for Women, Infants, and Children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.solanocounty.gov/government/health-social-services-department/solano-public-health/nutrition-services/women-infant-children-program-wic/apply-wic-spanish,2026-04-20,Swindar,The program does not match any specific maternal health program in the registry. The program does not match any specific maternal health program in the registry.
California,Solano,https://www.solanocounty.com/,Solano Public Health,webdevelopment@solanocounty.gov,877-680-2229,"Women, Infant, & Children (WIC)",Tier 1 — Universal,"Special Supplemental Nutrition Program for Women, Infants, and Children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,how to apply or Not specified,Not specified,Yes,https://www.solanocounty.gov/government/health-social-services-department/solano-public-health/nutrition-services-bureau/women-infant-children-program-wic/apply-wic-english,2026-04-20,Swindar,The program does not match any specific maternal health program in the registry. The program does not match any specific maternal health program in the registry.
California,Solano,https://www.solanocounty.com/,Solano Public Health,webdevelopment@solanocounty.gov,877-680-2229,Nurse-Family Partnership,Selective,Program offering specially educated nurses regularly visit first-time moms.,"First-time, low-income pregnant women enrolled by 28 weeks gestation",Not specified,Not specified,Not specified,Unknown,https://www.solanocounty.gov/government/health-social-services-hss/solano-public-health/maternal-child-adolescent-health,2026-04-20,Swindar,The program does not match any specific maternal health program in the registry. The program does not match any specific maternal health program in the registry.
California,Solano,https://www.solanocounty.com/,Solano Public Health,webdevelopment@solanocounty.gov,877-680-2229,Healthy Families Solano County,Selective,"A national, evidence-based program that offers home-visiting services.",Families with newborns up to 3 months,Not specified,Not specified,Not specified,Unknown,https://www.solanocounty.gov/government/health-social-services-hss/solano-public-health/maternal-child-adolescent-health,2026-04-20,Swindar,The program does not match any specific maternal health program in the registry. The program does not match any specific maternal health program in the registry.
California,Solano,https://www.solanocounty.com/,Solano Public Health,webdevelopment@solanocounty.gov,877-680-2229,Solano County Black Infant Health,Selective,Works towards improving health outcomes amongst Black/African-American mothers and their babies.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,https://www.solanocounty.gov/government/health-social-services-hss/solano-public-health/maternal-child-adolescent-health,2026-04-20,Swindar,The program does not match any specific maternal health program in the registry. The program does not match any specific maternal health program in the registry.
California,Solano,https://www.solanocounty.com/,Solano Public Health,webdevelopment@solanocounty.gov,877-680-2229,Fetal Infant Mortality Review,Selective,FIMR is a community-based program that reviews the contributing factors to fetal and infant deaths.,Indirectly benefits all pregnant women,Not specified,Not specified,Not specified,Unknown,https://www.solanocounty.gov/government/health-social-services-hss/solano-public-health/maternal-child-adolescent-health,2026-04-20,Swindar,The program does not match any specific maternal health program in the registry. The program does not match any specific maternal health program in the registry.
California,Solano,https://www.solanocounty.com/,Solano Public Health,webdevelopment@solanocounty.gov,877-680-2229,Comprehensive Perinatal Services Program (CPSP),Tier 2 — State-wide,The Comprehensive Perinatal Services Program (CPSP) is a free program that helps improve the health of pregnant women who are low-income and give their babies a healthy start.,Low-income pregnant women,Applicant's site must be actively enrolled in Medi-Cal and be a CPSP-eligible provider type.,Providers must apply and be certified by the California State Department of Health.,Approved CPSP Provider Application on file with CDPH/MCAH.,Yes,https://www.solanocounty.gov/government/health-social-services-hss/solano-public-health/maternal-child-adolescent-health/comprehensive-perinatal-services-program-cpsp-provider-information,2026-04-20,Swindar,The program does not match any specific maternal health program in the registry. The program does not match any specific maternal health program in the registry.
California,Solano,https://www.solanocounty.com/,Solano Public Health,webdevelopment@solanocounty.gov,877-680-2229,Nurse-Family Partnership,Selective,"Nurse-Family Partnership is an evidence-based, community health program that empowers first-time moms through regular visits from specially educated nurses.","First-time, low-income pregnant women enrolled by 28 weeks gestation","Less than 28 weeks pregnant with first child, meets income requirements (eligible for WIC or Medi-Cal), current Solano County resident","Call the program for more info, at (707) 784-8665",Not specified,Unknown,https://www.solanocounty.gov/government/health-social-services-hss/solano-public-health/maternal-child-adolescent-health/nurse-family-partnership,2026-04-20,Swindar,The program does not match any specific maternal health program in the registry. The program does not match any specific maternal health program in the registry.
California,Solano,https://www.solanocounty.com/,Solano Public Health,webdevelopment@solanocounty.gov,877-680-2229,Healthy Families America,Tier 3 — Selective,"Healthy Families America is a program that provides support to families with newborns up to 3 months, focusing on stress and risk-factor screening at birth.",Families with newborns up to 3 months,Not specified,Not specified,Not specified,Unknown,https://www.solanocounty.gov/government/health-social-services-hss/solano-public-health/maternal-child-adolescent-health/mcah-contacts,2026-04-20,Swindar,The program does not match any specific maternal health program in the registry. The program does not match any specific maternal health program in the registry.
California,Solano,https://www.solanocounty.com/,Solano Public Health,webdevelopment@solanocounty.gov,877-680-2229,Fetal Infant Mortality Review (FIMR) Program,Tier 3 — Selective,"FIMR is a process that helps create new ideas to improve services for women, infants, and families in Solano County.","Women, infants, and families in Solano County",Not specified,Not specified,Not specified,Unknown,https://www.solanocounty.gov/government/health-social-services-hss/solano-public-health/maternal-child-adolescent-health/child-fatality-review-response-program/fetal-infant-mortality-review-fimr-program,2026-04-20,Swindar,The program does not match any specific maternal health program in the registry. The program does not match any specific maternal health program in the registry.
