State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,AAIMM Doula Program,Selective,The AAIMM Doula Program offers free doula support to Black/African American pregnant individuals to improve birth outcomes.,Black/African American pregnant individuals in Los Angeles County,"18 or older (or foster youth), pregnant person, self-identifying as Black/African American and live in Los Angeles County.",Contact program staff at the provided phone number or email.,Not specified,Yes,https://www.blackinfantsandfamilies.org/doulas,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Black Infant Health,Tier 3 — Selective,A program aimed at addressing the higher rates of infant mortality among Black/African American women.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/CAH/PYD/Youth Advisory Council-About.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Nurse-Family Partnership (NFP),Tier 3 — Selective,"A program providing home visiting services by registered nurses to first-time, low-income pregnant women.","First-time, low-income pregnant women",Enrolled by 28 weeks gestation,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/CAH/PYD/Youth Advisory Council-About.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Fetal Infant Mortality Review (FIMR) Program,Tier 3 — Selective,A program that conducts retrospective reviews of fetal and infant deaths to improve health outcomes.,Indirectly benefits all pregnant women,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/CAH/PYD/Youth Advisory Council-About.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Doula Program,UNMATCHED,The Doula Program provides support to pregnant individuals through trained doulas.,Pregnant individuals in Los Angeles County,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/AAIMM/aaimm-new.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Fatherhood Support,UNMATCHED,Fatherhood Support aims to engage and support fathers in the parenting process.,Fathers in Los Angeles County,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/AAIMM/aaimm-new.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Breast / Chestfeeding Support,UNMATCHED,Breast / Chestfeeding Support provides resources and assistance to new parents.,New parents in Los Angeles County,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/AAIMM/aaimm-new.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,The Village Fund,UNMATCHED,The Village Fund provides financial support to families in need.,Families in Los Angeles County,Not specified,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/AAIMM/aaimm-new.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Comprehensive Perinatal Services Program (CPSP),Tier 1 — Universal,"CPSP provides a wide range of culturally competent services to Medi-Cal pregnant women, from conception through 1 year postpartum.",Medi-Cal pregnant women,Medi-Cal eligibility,Patients enrolled in a managed care health plan should contact their plan for referral to a contracting physician.,Not specified,Yes,http://publichealth.lacounty.gov/mch/cpsp/CPSPwebpages/cpsp_rev.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Comprehensive Perinatal Services Program (CPSP),Tier 1 — Universal,"The Comprehensive Perinatal Services Program (CPSP) is an enhanced obstetrical program for Medi-Cal eligible pregnant women that includes health education, nutrition, and psychosocial assessments and interventions.",Medi-Cal eligible pregnant women,Must be Medi-Cal eligible,Not specified,Not specified,Yes,http://www.publichealth.lacounty.gov/mch/CPSP/cpspproviders/providerlist.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Black Infant Health,Tier 3 — Selective,The Black Infant Health Program addresses the higher rates of infant mortality among Black/African American women of childbearing age.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,http://www.publichealth.lacounty.gov/mch/CPSP/cpspproviders/providerlist.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Nurse-Family Partnership (NFP),Tier 3 — Selective,"Nurse-Family Partnership is a program that provides home visiting services to first-time, low-income pregnant women.","First-time, low-income pregnant women",Enrolled by 28 weeks gestation,Not specified,Not specified,Unknown,http://www.publichealth.lacounty.gov/mch/CPSP/cpspproviders/providerlist.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Fetal Infant Mortality Review (FIMR) Program,Tier 3 — Selective,The Fetal and Infant Mortality Review Program conducts retrospective reviews of fetal and infant deaths.,Not specified,Not specified,Not specified,Not specified,Unknown,http://www.publichealth.lacounty.gov/mch/CPSP/cpspproviders/providerlist.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,African American Infant and Maternal Mortality Prevention Initiative (AAIMM),Maternal Health,"Provides culturally competent, complimentary support to Black/African American pregnant residents of LA County.",Black/African American pregnant residents of LA County,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/#support,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Black Infant Health,Maternal Health,Prenatal and postpartum services for black women 16 years or older to encourage healthy behaviors during pregnancy.,Black women 16 years or older,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/#support,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Comprehensive Perinatal Services Program,Maternal Health,Statewide comprehensive perinatal services program offering technical support and resources to LA County providers.,Pregnant individuals and providers in LA County,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/#support,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Home Visiting Programs,Maternal Health,"From pregnancy through age 5, our FREE home visiting programs bring support right to you.",Pregnant individuals and families with children up to age 5,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/#support,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Black Infant Health Program,Tier 3 — Selective,Addresses the higher rates of infant mortality among Black/African American women.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/docs/black_infant_health_program-LA_county_subcontractors.pdf,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Comprehensive Perinatal Services Program (CPSP),Tier 1 — Universal,"The Comprehensive Perinatal Services Program (CPSP) is an enhanced obstetrical program for Medi-Cal eligible pregnant women that includes health education, nutrition, and psychosocial assessments and interventions.",Medi-Cal eligible pregnant women,Medi-Cal eligibility,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/cpsp/cpspproviders/providerlist.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Black Infant Health,Tier 3 — Selective,Black Infant Health (BIH) addresses the higher rates of infant mortality among Black/African American women.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/cpsp/cpspproviders/providerlist.htm,2026-03-16,Swindar,
California,Los Angeles,https://www.lacounty.gov/,Los Angeles County Department of Public Health,YouthAdvisoryCouncil@ph.lacounty.gov,(213) 639-6448,Nurse-Family Partnership (NFP),Tier 3 — Selective,"Nurse-Family Partnership (NFP) provides home visiting services by registered nurses to first-time, low-income pregnant women.","First-time, low-income pregnant women",Enrolled by 28 weeks gestation,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/cpsp/cpspproviders/providerlist.htm,2026-03-16,Swindar,
