State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,"Women, Infants & Children (WIC)",Tier 1 — Universal,"Special Supplemental Nutrition Program for Women, Infants, and Children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.shastacounty.gov/health-human-services/page/pregnancy-children-and-parenting,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,Nurse-Family Partnership (NFP),Tier 3 — Selective,"A program that provides nurse home visiting services to first-time, low-income pregnant women.","First-time, low-income pregnant women enrolled by 28 weeks gestation.",Not specified,Not specified,Not specified,Unknown,https://www.shastacounty.gov/health-human-services/page/pregnancy-children-and-parenting,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,"Women, Infants & Children (WIC)",Tier 1 — Universal,"Special Supplemental Nutrition Program for Women, Infants, and Children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.shastacounty.gov/health-human-services/page/pregnancy,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,Medi-Cal,Tier 1 — Universal,Medi-Cal provides health care coverage to California residents with low income.,"Pregnant people, low-income families with children, individuals with low income",Low income; varies by age and disability status,Online through BenefitsCal or Covered California; by phone; by mail; in person,Not specified,Yes,https://www.shastacounty.gov/health-human-services/page/medi-cal-0,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,"Healthy Moms, Healthy Babies Program",Maternal Health,"The Healthy Moms, Healthy Babies Program supports pregnant women and moms parenting children under age 2 by connecting them to compassionate care and local resources tailored to their needs.",Pregnant women and mothers with children under age 2,Not specified,Not specified,Not specified,Unknown,https://www.shastacounty.gov/health-human-services/page/maternal-depression-and-anxiety,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,Mother-to-Mother Peer Group,Maternal Health,"The Mother-to-Mother group provides a safe space for mothers experiencing anxiety and depression, allowing them to connect with others and learn ways to manage their feelings.",Mothers experiencing anxiety and depression,Not specified,Not specified,Not specified,Unknown,https://www.shastacounty.gov/health-human-services/page/maternal-depression-and-anxiety,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,"Women, Infants and Children Program (WIC)",Tier 1 — Universal,"The Shasta County WIC program helps families eat well, stay healthy, and be active.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.","If you receive Medi-Cal, CalWORKs or CalFresh (Food Stamps), you could meet the income eligibility for WIC.",Test out your eligibility online or contact Shasta County WIC.,Not specified,Yes,https://www.shastacounty.gov/health-human-services/page/women-infants-children-wic,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,"Women, Infants and Children (WIC)",Tier 1 — Universal,"The WIC program provides nutritional support and education to women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,"Apply online using BenefitsCal, Apply in person, or Call the Customer Service Center",Not specified,Yes,https://www.shastacounty.gov/health-human-services/page/calfresh-calworks-medi-cal-other-aid-programs,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,Alliance for Innovation on Maternal Health,Tier 3 — Selective,Birthing hospitals and obstetric providers; indirectly serves all pregnant women.,All pregnant women,Not specified,Not specified,Not specified,Unknown,https://www.shastacounty.gov/media/73626,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,Nurse-Family Partnership (NFP),Tier 3 — Selective,Nurse-Family Partnership is a free home visiting program that partners nurses with first-time moms early in their pregnancy.,First-time moms who are less than 28 weeks pregnant,Eligible for Medi-Cal or WIC,Anyone can refer a woman to NFP; women can self-refer or be referred by healthcare providers.,Referral form,Yes,https://www.shastacounty.gov/health-human-services/page/nurse-family-partnership-nfp,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,Parents as Teachers,Selective,Expectant parents and families with children from birth through age 3 (or 5 in some cases) receive support.,Expectant parents and families with children from birth through age 3 (or 5 in some cases),Not specified,Not specified,Not specified,Unknown,https://www.shastacounty.gov/node/3987,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,Alliance for Innovation on Maternal Health,Selective,A program aimed at improving maternal health safety and quality in birthing hospitals.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women,Not specified,Not specified,Not specified,Unknown,https://www.shastacounty.gov/node/3987,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,Alliance for Innovation on Maternal Health,Tier 3 — Selective,Birthing hospitals and obstetric providers; indirectly serves all pregnant women.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women.,Not specified,Not specified,Not specified,Unknown,https://www.shastacounty.gov/health-human-services/page/mental-health-alcohol-drug-disclaimer,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,Medi-Cal Access Program (MCAP),Tier 1 — Universal,For women who don't have insurance to cover pregnancy and are not receiving no-cost Medi-Cal or Medicare Part A and Part B or have other health insurance plan that doesn't cover maternity services or with a maternity-only deductible or copayment greater than $500.,Women without insurance covering pregnancy,Not specified,Not specified,Not specified,Yes,https://www.shastacounty.gov/health-human-services/page/pregnancy-support,2026-04-20,Swindar,
California,Shasta,https://www.co.shasta.ca.us/,Shasta County Health and Human Services,shastamcah@shastacounty.gov,(530) 229-8400,Family PACT,Tier 2 — State-wide,"Provides no-cost family planning services to women and men, including teens, living on a low-income.",Low-income individuals seeking family planning services,Not specified,Visit the Family PACT website for more information,Not specified,Yes,https://www.shastacounty.gov/health-human-services/page/pregnancy-support,2026-04-20,Swindar,
