State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,Medi-Cal,Tier 1 — Universal,Medi-Cal is California’s Medicaid healthcare program that provides comprehensive health coverage for people with low or no income.,Pregnant individuals meeting income thresholds; varies by state expansion status,"To qualify for Medi-Cal, you have to live in California and meet program eligibility rules.",Not specified,Not specified,Yes,https://hca.venturacounty.gov/social-services/medical/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,"WIC-Women, Infants and Children",Tier 1 — Universal,"WIC provides nutritional support for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://hca.venturacounty.gov/social-services/medical/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,Parents as Teachers,Selective,Parents as Teachers is a program that provides parent educator home visits.,Expectant parents and families with children from birth through age 3 (or 5 in some cases).,Not specified,Not specified,Not specified,Unknown,https://hca.venturacounty.gov/econnect/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,Alliance for Innovation on Maternal Health,Selective,The Alliance for Innovation on Maternal Health focuses on maternal safety and quality improvement in obstetric care.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women.,Not specified,Not specified,Not specified,Unknown,https://hca.venturacounty.gov/econnect/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,Comprehensive Perinatal Services,Tier 1 — Universal,The Comprehensive Perinatal Services Program (CPSP) is a Medi-Cal benefit that provides a wide range of culturally competent services to pregnant women from conception through 60 days postpartum.,Pregnant women from conception through 60 days postpartum,Eligible beneficiaries under Medi-Cal,Not specified,Not specified,Yes,https://hca.venturacounty.gov/public-health/cpsp/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,Nurse-Family Partnership,Tier 3 — Selective,"Nurse-Family Partnership provides home visiting services by registered nurses to first-time, low-income pregnant women.","First-time, low-income pregnant women enrolled by 28 weeks gestation",Not specified,Not specified,Not specified,Unknown,https://hca.venturacounty.gov/public-health/cpsp/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,Parents as Teachers,Tier 3 — Selective,Parents as Teachers is a program that provides home visits and support for expectant parents and families with young children.,Expectant parents and families with children from birth through age 3 (or 5 in some cases),Not specified,Not specified,Not specified,Unknown,https://hca.venturacounty.gov/public-health/cpsp/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,"WIC- Women, Infants, and Children",Tier 1 — Universal,"WIC provides nutritional support and education for low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Income eligibility criteria apply,Not specified,Not specified,Yes,https://hca.venturacounty.gov/public-health/cpsp/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,Nurse-Family Partnership,Selective,"Comprehensive nursing assessments, education and linkage to community resources for pregnant women identified as being at-risk for substance use, depression, and domestic violence.","Pregnant women identified as being at-risk for substance use, depression, and domestic violence.",Not specified,Not specified,Not specified,Unknown,https://hca.venturacounty.gov/public-health/perinatal-substance-use-services/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,Parents as Teachers,Selective,Program aimed at providing support and education to expectant parents and families with children.,Expectant parents and families with children from birth through age 3.,Not specified,Not specified,Not specified,Unknown,https://hca.venturacounty.gov/public-health/perinatal-substance-use-services/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,"WIC- Women, Infants, and Children",Universal,"Special Supplemental Nutrition Program for Women, Infants, and Children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://hca.venturacounty.gov/public-health/perinatal-substance-use-services/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,Alliance for Innovation on Maternal Health,Tier 3 — Selective,A program focused on improving maternal health safety and quality in birthing hospitals.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women,Not specified,Not specified,Not specified,Unknown,https://hca.venturacounty.gov/public-health/vital-records-and-data/birth-and-death-registration/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,WIC,Tier 1 — Universal,The WIC Program is committed to helping women understand the benefits to both mother and infant of breastfeeding their baby and provides supplemental foods.,"Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Medical information from their physician or clinic,Yes,https://hca.venturacounty.gov/public-health/wic/additional-resources/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,Adolescent Family Life Program,Maternal Health,"This program is designed to address and enhance the health, social, economic, and educational well-being of expectant and parenting adolescents/youth and their children in California.",Expecting and/or Parenting female and male who is 21 years old or younger residing in Ventura County,Expecting and/or Parenting female and male who is 21 years old or younger,Not specified,Not specified,Yes,https://hca.venturacounty.gov/public-health/aflp/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,Nurse-Family Partnership,Maternal Health,"A program that provides home visiting services by registered nurses to first-time, low-income pregnant women.","First-time, low-income pregnant women enrolled by 28 weeks gestation",Not specified,Not specified,Not specified,Unknown,https://hca.venturacounty.gov/public-health/aflp/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,Parents as Teachers,Maternal Health,A program that provides parent educator home visits to support expectant parents and families with young children.,Expectant parents and families with children from birth through age 3 (or 5 in some cases),Not specified,Not specified,Not specified,Unknown,https://hca.venturacounty.gov/public-health/aflp/,2026-04-20,Swindar,
California,Ventura,https://www.ventura.org/,Ventura County Health Care Agency,MCAHCPSPGeneralInquiry@cdph.ca.gov,(877) 621-8014,"WIC- Women, Infants, and Children",Maternal Health,"A program that provides nutritional support and education for low-income pregnant, postpartum, and breastfeeding women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://hca.venturacounty.gov/public-health/aflp/,2026-04-20,Swindar,
