State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Sacramento,https://www.saccounty.net/,Not found,Not found,Not found,"Women, Infants & Children (WIC) Program",Nutrition,"Supplemental nutrition program providing food, nutrition education, and breastfeeding support.","Pregnant women, new mothers, and infants",Not specified,Not specified,Not specified,Yes,https://dhs.saccounty.gov/PUB/Pages/Maternal-Adolescent-Health/GI-Breastfeeding-Resources.aspx,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted breastfeeding and WIC programs as maternal health programs. Not a maternal health program Data extracted from the Sacramento County WIC program page. Program focuses on maternal mental health support.
California,Sacramento,https://www.saccounty.net/,Not found,Not found,Not found,Breastfeeding Resources,Breastfeeding,Resources for new moms including support and education on breastfeeding.,New mothers,Not specified,Not specified,Not specified,No,https://dhs.saccounty.gov/PUB/Pages/Maternal-Adolescent-Health/GI-Breastfeeding-Resources.aspx,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted breastfeeding and WIC programs as maternal health programs. Not a maternal health program Data extracted from the Sacramento County WIC program page. Program focuses on maternal mental health support.
California,Sacramento,https://www.saccounty.net/,Not found,Not found,Not found,WIC,Nutrition,"The Sacramento County WIC program helps pregnant women, new moms, and young children eat well, stay healthy, and be active.","Pregnant women, new mothers, and young children",You are pregnant now or within the last six months and/or you have a child under the age of five years.,"By appointment only, call (916) 876-5000 for details.",Not specified,Yes,https://dhs.saccounty.gov/PRI/WIC/Pages/Women-Infants-and-Children-Home.aspx,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted breastfeeding and WIC programs as maternal health programs. Not a maternal health program Data extracted from the Sacramento County WIC program page. Program focuses on maternal mental health support.
California,Sacramento,https://www.saccounty.net/,Not found,Not found,Not found,Bemomaware,Maternal Child Health,"Connect to Care for Maternal Mental Health with Bemomaware, part of the Sacramento Maternal Mental Health Collaborative.",Pregnant women and new mothers,Not specified,Not specified,Not specified,Unknown,http://www.bemomaware.com/,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted breastfeeding and WIC programs as maternal health programs. Not a maternal health program Data extracted from the Sacramento County WIC program page. Program focuses on maternal mental health support.
California,San Diego,https://www.sandiegocounty.gov/,Not found,Not found,Not found,Black Infant Health (BIH) Program,Health Equity,Program addressing African American infant mortality through group education and case management.,Pregnant women and infants,Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs.html,2026-02-05,Swindar,Not a maternal health program Extracted programs related to maternal health. Not a maternal health program Not a maternal health program Not a maternal health program Extracted program focuses on addressing maternal health disparities among African-American families. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Not found,Not found,Not found,"Maternal, Child, and Family Health Services (MCFHS)",Maternal Child Health,"Services aimed at improving the health of mothers, children, and families.","Pregnant women, new mothers, and infants",Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs.html,2026-02-05,Swindar,Not a maternal health program Extracted programs related to maternal health. Not a maternal health program Not a maternal health program Not a maternal health program Extracted program focuses on addressing maternal health disparities among African-American families. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Not found,Not found,Not found,Perinatal Equity Initiative (PEI),Health Equity,Initiative aimed at improving birth and maternal health outcomes for African-American families in San Diego County by addressing social injustices and health inequities.,"African-American families, pregnant women, new mothers",Not specified,Not specified,Not specified,Unknown,https://blacklegacynowsd.com/?msclkid=bc9739eabd0411ec8c2a1f6b894251d0,2026-02-05,Swindar,Not a maternal health program Extracted programs related to maternal health. Not a maternal health program Not a maternal health program Not a maternal health program Extracted program focuses on addressing maternal health disparities among African-American families. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Not found,Not found,Not found,Perinatal Care Network (PCN),Perinatal Care,"PCN links families eligible for pregnancy-related Medi-Cal to care, ensuring access to early and continuous prenatal care and other necessary services during pregnancy.",Pregnant women,Eligibility for pregnancy-related Medi-Cal,Call 1-800-675-2229,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/perinatal_care_network.html,2026-02-05,Swindar,Not a maternal health program Extracted programs related to maternal health. Not a maternal health program Not a maternal health program Not a maternal health program Extracted program focuses on addressing maternal health disparities among African-American families. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Not found,Not found,Not found,Home Visiting Program,Home Visiting,"Public Health Nurses provide home visitation to support high-risk pregnant, postpartum, and first-time moms.","High-risk pregnant women, postpartum women, first-time moms",Not specified,Call 1-619-285-6480,Not specified,Unknown,Not specified,2026-02-05,Swindar,Not a maternal health program Extracted programs related to maternal health. Not a maternal health program Not a maternal health program Not a maternal health program Extracted program focuses on addressing maternal health disparities among African-American families. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Not found,Not found,Not found,Black Infant Health (BIH),Health Equity,Improves the health of African-American mothers and babies through prenatal and postpartum group and individualized support.,African-American mothers and babies,Not specified,Not specified,Not specified,Unknown,Not specified,2026-02-05,Swindar,Not a maternal health program Extracted programs related to maternal health. Not a maternal health program Not a maternal health program Not a maternal health program Extracted program focuses on addressing maternal health disparities among African-American families. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Not found,Not found,Not found,Global Communities Healthy Start,Other,"Free prenatal and childbirth education, postpartum, and breastfeeding support with a focus on Black families in San Diego County.",Black families,Not specified,Not specified,Not specified,Unknown,Not specified,2026-02-05,Swindar,Not a maternal health program Extracted programs related to maternal health. Not a maternal health program Not a maternal health program Not a maternal health program Extracted program focuses on addressing maternal health disparities among African-American families. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Not found,Not found,Not found,"Women, Infants, and Children (WIC)",Nutrition,"Food assistance and nutrition education for women, infants, and children.","Women, infants, and children",Not specified,Not specified,Not specified,Yes,Not specified,2026-02-05,Swindar,Not a maternal health program Extracted programs related to maternal health. Not a maternal health program Not a maternal health program Not a maternal health program Extracted program focuses on addressing maternal health disparities among African-American families. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Diego,https://www.sandiegocounty.gov/,Not found,Not found,Not found,Black Infant Health Program,Health Equity,"The San Diego County Black Infant Health Program (BIH) works to improve African-American infant and maternal health, as well as decrease Black-White health and social inequities for women and infants.",Pregnant African-American women and new mothers,Pregnant African-American women 16 years of age or older,"If you are eligible and would like to learn more about enrolling in BIH, please fill out the form of your area or call BIH at 619-266-7466.",Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/black_infant_health_program.html,2026-02-05,Swindar,Not a maternal health program Extracted programs related to maternal health. Not a maternal health program Not a maternal health program Not a maternal health program Extracted program focuses on addressing maternal health disparities among African-American families. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program Not a maternal health program
California,San Francisco,https://sf.gov/,Not found,Not found,Not found,WIC,Nutrition,"Women, Infants, and Children - supplemental nutrition program providing food, nutrition education, and breastfeeding support.","Pregnant women, new mothers, and infants",Not specified,Not specified,Not specified,Yes,https://sf.gov/information/wic-clinic-hours-and-locations,2026-02-05,Swindar,"Not a maternal health program Data extracted from the WIC clinic information page. Program focuses on family planning, which is a component of maternal health. Extracted program related to maternal health. Data extracted from the provided content. Data extracted from the provided content. Extracted relevant maternal health programs from the provided content. Data extracted from the provided content. Data extracted from the provided content."
California,San Francisco,https://sf.gov/,Not found,Not found,Not found,Family Planning Program,Family Planning,"The family planning program at DPH supports clinics in the SF Health Network, providing support and technical help to clinic sites.",Individuals seeking family planning services,Not specified,Not specified,Not specified,Yes,https://www.sf.gov/information--family-planning-program/,2026-02-05,Swindar,"Not a maternal health program Data extracted from the WIC clinic information page. Program focuses on family planning, which is a component of maternal health. Extracted program related to maternal health. Data extracted from the provided content. Data extracted from the provided content. Extracted relevant maternal health programs from the provided content. Data extracted from the provided content. Data extracted from the provided content."
California,San Francisco,https://sf.gov/,Not found,Not found,Not found,"Maternal, Child, and Adolescent Health",Maternal Child Health,We provide services to pregnant people and families with children and we collaborate with health professionals to improve care.,Pregnant people and families with children,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/child-care-health-program-cchp/,2026-02-05,Swindar,"Not a maternal health program Data extracted from the WIC clinic information page. Program focuses on family planning, which is a component of maternal health. Extracted program related to maternal health. Data extracted from the provided content. Data extracted from the provided content. Extracted relevant maternal health programs from the provided content. Data extracted from the provided content. Data extracted from the provided content."
California,San Francisco,https://sf.gov/,Not found,Not found,Not found,San Francisco Black Infant Health Program,Health Equity,Our goal at SF Black Infant Health is to improve Black infant and maternal health. We empower Black or African American pregnant people to make healthy choices for a brighter future.,Black or African American pregnant people,Not specified,Not specified,Not specified,Unknown,https://www.sf.gov/departments/san-francisco-black-infant-health-program,2026-02-05,Swindar,"Not a maternal health program Data extracted from the WIC clinic information page. Program focuses on family planning, which is a component of maternal health. Extracted program related to maternal health. Data extracted from the provided content. Data extracted from the provided content. Extracted relevant maternal health programs from the provided content. Data extracted from the provided content. Data extracted from the provided content."
California,San Francisco,https://sf.gov/,Not found,Not found,Not found,Nurse home visiting program,Home Visiting,"If you are pregnant or have a new baby, a public health nurse can visit you at home to provide support and guidance.",Pregnant women and women who had a baby,Live in San Francisco and meet income requirements,"Call the Maternal, Child and Adolescent Health division to sign up",Not specified,Yes,https://www.sf.gov/nurse-home-visiting-program/,2026-02-05,Swindar,"Not a maternal health program Data extracted from the WIC clinic information page. Program focuses on family planning, which is a component of maternal health. Extracted program related to maternal health. Data extracted from the provided content. Data extracted from the provided content. Extracted relevant maternal health programs from the provided content. Data extracted from the provided content. Data extracted from the provided content."
