State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,San Bernardino,https://www.sbcounty.gov/,Department of Public Health,BIH@dph.sbcounty.gov,(844) 352-3985,Black Infant Health,Tier 3 — Selective,"The Black Infant Health (BIH) Program uses a group-based approach with complementary client-centered case management to help women develop life skills, learn strategies for reducing stress, and build social support.",Black/African American women of childbearing age,"Self-identify as Black or African-American, 16+ years of age or older, Pregnant or six months postpartum, Must be a resident of San Bernardino County","Enrollment is easy, and there are no income limitations.",Not specified,Unknown,https://dph.sbcounty.gov/bih/,2026-04-20,Swindar,
California,San Bernardino,https://www.sbcounty.gov/,Department of Public Health,BIH@dph.sbcounty.gov,(844) 352-3985,Black Infant Health,Tier 3 — Selective,The Black Infant Health Program addresses the health disparities faced by Black/African American women of childbearing age.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,https://dph.sbcounty.gov/programs/fhs/mcah/community-action-team/,2026-04-20,Swindar,
California,San Bernardino,https://www.sbcounty.gov/,Department of Public Health,BIH@dph.sbcounty.gov,(844) 352-3985,Alliance for Innovation on Maternal Health,Tier 3 — Selective,The AIM program focuses on improving maternal safety and quality of care in birthing hospitals.,Birthing hospitals and obstetric providers,Not specified,Not specified,Not specified,Unknown,https://dph.sbcounty.gov/programs/fhs/mcah/community-action-team/,2026-04-20,Swindar,
California,San Bernardino,https://www.sbcounty.gov/,Department of Public Health,BIH@dph.sbcounty.gov,(844) 352-3985,Black Infant Health,Selective,Program addressing the health disparities faced by Black/African American women and their infants.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,https://dph.sbcounty.gov/programs/fhs/mcah/familyresources/,2026-04-20,Swindar,
California,San Bernardino,https://www.sbcounty.gov/,Department of Public Health,BIH@dph.sbcounty.gov,(844) 352-3985,"Women, Infants, and Children (WIC)",Universal,"Nutritional support program for low-income pregnant women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://dph.sbcounty.gov/programs/fhs/mcah/familyresources/,2026-04-20,Swindar,
California,San Bernardino,https://www.sbcounty.gov/,Department of Public Health,BIH@dph.sbcounty.gov,(844) 352-3985,Family PACT,State-wide,Program addressing the family planning needs of low-income California residents.,Low-income California residents,Not specified,Not specified,Not specified,Yes,https://dph.sbcounty.gov/programs/fhs/mcah/familyresources/,2026-04-20,Swindar,
California,San Bernardino,https://www.sbcounty.gov/,Department of Public Health,BIH@dph.sbcounty.gov,(844) 352-3985,Parents as Teachers,Selective,Program providing home visits to expectant parents and families with young children.,Expectant parents and families with children from birth through age 3,Not specified,Not specified,Not specified,Unknown,https://dph.sbcounty.gov/programs/fhs/mcah/familyresources/,2026-04-20,Swindar,
California,San Bernardino,https://www.sbcounty.gov/,Department of Public Health,BIH@dph.sbcounty.gov,(844) 352-3985,Fetal Infant Mortality Review (FIMR),Tier 3 — Selective,"The Fetal Infant Mortality Review (FIMR) program seeks to identify and examine factors that contribute to fetal, neonatal, and post-neonatal deaths by establishing ongoing case review and community action teams.",All pregnant women indirectly benefit from the program.,Not specified,Not specified,Not specified,Unknown,https://dph.sbcounty.gov/programs/fhs/mcah/,2026-04-20,Swindar,
California,San Bernardino,https://www.sbcounty.gov/,Department of Public Health,BIH@dph.sbcounty.gov,(844) 352-3985,Black Infant Health (BIH),Tier 3 — Selective,The Black Infant Health (BIH) program serves pregnant and up to 6 months postpartum women who self identify as Black ages 16+.,Black/African American women of childbearing age.,Self-identify as Black and aged 16 or older.,Not specified,Not specified,Unknown,https://dph.sbcounty.gov/programs/fhs/mcah/,2026-04-20,Swindar,
California,San Bernardino,https://www.sbcounty.gov/,Department of Public Health,BIH@dph.sbcounty.gov,(844) 352-3985,California Home Visiting Program (CHVP),UNMATCHED,"Through our contract with El Sol, the California Home Visiting Program (CHVP) provides home visits to overburdened families who are at risk for Adverse Childhood Experiences (ACEs) to provide parenting support through preventive interventions for child development and maternal depression.",Overburdened families at risk for Adverse Childhood Experiences.,Not specified,Not specified,Not specified,Unknown,https://dph.sbcounty.gov/programs/fhs/mcah/,2026-04-20,Swindar,
