State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,Black Infant Health Program,Tier 3 — Selective,The Black Infant Health Program addresses the health disparities faced by Black/African American women and their infants.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,https://www.smchealth.org/mcah,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,Nurse-Family Partnership Program,Tier 3 — Selective,"The Nurse-Family Partnership Program provides home visiting services by registered nurses to first-time, low-income pregnant women.","First-time, low-income pregnant women",Enrolled by 28 weeks gestation,Not specified,Not specified,Unknown,https://www.smchealth.org/mcah,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,"WIC CARD!! Easier, Faster, Safer!",Tier 1 — Universal,The WIC Card replaced the paper food checks and provides an easier way to issue food benefits and improve the shopping experience for WIC families and grocers.,"Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.smchealth.org/node/2946,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,Parents as Teachers,Tier 3 — Selective,Expectant parents and families with children from birth through age 3 (or 5 in some cases) receive support.,Expectant parents and families with children from birth through age 3,Not specified,Not specified,Not specified,Unknown,https://www.smchealth.org/node/2946,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,"Women, Infants, and Children (WIC) Breastfeeding Support Groups",Tier 1 — Universal,"Breastfeeding support groups improve mental health in families, increase self-esteem and confidence, and help meet breastfeeding goals.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Unknown,https://www.smchealth.org/post/women-infants-and-children-wic-breastfeeding-support-groups,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,Parents as Teachers,Selective,Not specified,Expectant parents and families with children from birth through age 3 (or 5 in some cases),Not specified,Not specified,Not specified,Unknown,https://www.smchealth.org/birth-death-certificates,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,Home Visiting,Tier 2 — State-wide,Home visiting services aimed at improving maternal and child health outcomes.,Pregnant women and parents with children 0-5 in at-risk communities; low-income.,Not specified,Not specified,Not specified,Unknown,https://www.smchealth.org/post/home-visiting-client-satisfaction-survey,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,Nurse-Family Partnership Program,Tier 3 — Selective,"The Nurse-Family Partnership (NFP) program can help you get health insurance, stay in or go back to school or get a job, learn how to raise healthy kids and prevent illness.","First-time, low-income pregnant women",Enrolled by 28 weeks gestation,Not specified,Not specified,Yes,https://www.smchealth.org/services-pregnant-and-parenting-teens,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,Healthy Families San Mateo County,Tier 3 — Selective,Healthy Families San Mateo County is a free and voluntary home visiting program offering support to families who are pregnant or parenting newborns.,Families who are pregnant or parenting newborns,Not specified,Not specified,Not specified,Yes,https://www.smchealth.org/services-pregnant-and-parenting-teens,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,Prenatal Advantage Black Infant Health,Tier 3 — Selective,The purpose of the Black Infant Health Programs (BIH) is to reduce infant and maternal mortality rates and improve birth outcomes in the African-American community.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Yes,https://www.smchealth.org/services-pregnant-and-parenting-teens,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,"Maternal, Child & Adolescent Health Program",Tier 2 — State-wide,"The MCAH Program is committed to serving women, children, teens and their families in San Mateo County by improving access to comprehensive, quality health care.","Women, children, teens, and their families",Not specified,Not specified,Not specified,Unknown,https://www.smchealth.org/services-pregnant-and-parenting-teens,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,Nurse-Family Partnership Program,Tier 3 — Selective,The Nurse-Family Partnership (NFP) program helps first-time moms prepare for the birth of their child and gives them the support they need to become confident parents.,Women pregnant with their first child in their first or second trimester of pregnancy.,You must be a resident of San Mateo County.,"Call us at (650) 573-2501. Referrals are accepted from teens, family members, and providers.",Not specified,Yes,https://www.smchealth.org/nfp,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,WIC Referral for Postpartum Breastfeeding Women,Tier 1 — Universal,"Special Supplemental Nutrition Program for Women, Infants, and Children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.smchealth.org/sites/main/files/file-attachments/postpartum_wic_referral_form_2025.pdf?1758672438,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,Contact WIC,Tier 1 — Universal,"Special Supplemental Nutrition Program for Women, Infants, and Children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.smchealth.org/department-contact-info/contact-wic,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,Medical Care for Pregnant Women,Tier 1 — Universal,"Provides medical care, prenatal vitamins, health education, and nutrition services for pregnant women.",Pregnant individuals eligible for Medi-Cal.,Eligible for Medi-Cal.,Contact any of the care providers listed.,Not specified,Yes,https://www.smchealth.org/cpsp,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,"Women, Infants & Children (WIC) Program",Tier 1 — Universal,"WIC provides nutrition information, breastfeeding support, and healthy foods for families.","Low-income pregnant, postpartum, and breastfeeding women; infants and children under 5.",Families with limited income according to guidelines from the California Department of Public Health.,Call (650) 573-2168 to schedule your in-person or phone appointment.,Not specified,Yes,https://www.smchealth.org/wic,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,"Special Supplemental Nutrition Program for Women, Infants, and Children",Tier 1 — Universal,"Provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.smchealth.org/sites/main/files/file-attachments/pregnancy_wic_referral_form.pdf?1758672421,2026-04-20,Swindar,
California,San Mateo,https://www.smcgov.org/,San Mateo County Health,Not found,(650) 573-2501,Alliance for Innovation on Maternal Health,Selective,Birthing hospitals and obstetric providers; indirectly serves all pregnant women.,All pregnant women,Not specified,Not specified,Not specified,Unknown,https://www.smchealth.org/sites/main/files/file-attachments/black_maternal_and_infant_health_week_2012.pdf?1468361895,2026-04-20,Swindar,
