State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Los Angeles,https://www.lacounty.gov/,Not found,Not found,(213) 974-1234,Comprehensive Perinatal Services Program (CPSP),Perinatal Care,"The Comprehensive Perinatal Services Program (CPSP) is an enhanced obstetrical program for Medi-Cal eligible pregnant women that includes health education, nutrition, and psychosocial assessments and interventions.",Pregnant women,Medi-Cal eligibility,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/cpsp/cpspproviders/providerlist.htm,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted programs focus on maternal health and related services. Extracted multiple maternal health programs from the content. Not a maternal health program Extracted multiple maternal health programs from the content. Not a maternal health program Data extracted from the specified page content. Not a maternal health program Not a maternal health program
California,Los Angeles,https://www.lacounty.gov/,Not found,Not found,(213) 974-1234,Nurse-Family Partnership (NFP),Home Visiting,"Evidence-based nurse home visiting program for first-time, low-income mothers from pregnancy through child's second birthday.","First-time, low-income mothers",Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/cpsp/cpspproviders/providerlist.htm,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted programs focus on maternal health and related services. Extracted multiple maternal health programs from the content. Not a maternal health program Extracted multiple maternal health programs from the content. Not a maternal health program Data extracted from the specified page content. Not a maternal health program Not a maternal health program
California,Los Angeles,https://www.lacounty.gov/,Not found,Not found,(213) 974-1234,Black Infant Health (BIH),Health Equity,California program addressing African American infant mortality through group education and case management.,African American mothers and infants,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/cpsp/cpspproviders/providerlist.htm,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted programs focus on maternal health and related services. Extracted multiple maternal health programs from the content. Not a maternal health program Extracted multiple maternal health programs from the content. Not a maternal health program Data extracted from the specified page content. Not a maternal health program Not a maternal health program
California,Los Angeles,https://www.lacounty.gov/,Not found,Not found,(213) 974-1234,Los Angeles Mommy and Baby Project (LAMB),Maternal Child Health,Program aimed at improving maternal and infant health outcomes through education and support.,Pregnant women and new mothers,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/cpsp/cpspproviders/providerlist.htm,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted programs focus on maternal health and related services. Extracted multiple maternal health programs from the content. Not a maternal health program Extracted multiple maternal health programs from the content. Not a maternal health program Data extracted from the specified page content. Not a maternal health program Not a maternal health program
California,Los Angeles,https://www.lacounty.gov/,Not found,Not found,(213) 974-1234,AAIMM Doula Program,Birth Support | Health Equity,The AAIMM Doula Program provides free doula support to Black/African American pregnant individuals in Los Angeles County to improve birth outcomes and reduce maternal and infant mortality.,Black/African American pregnant individuals,"18 or older (or foster youth), pregnant person, self-identifying as Black/African American and live in Los Angeles County.",Contact program staff at (213) 639-6448 or email to request an AAIMM doula.,Not specified,Yes,https://www.blackinfantsandfamilies.org/doulas,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted programs focus on maternal health and related services. Extracted multiple maternal health programs from the content. Not a maternal health program Extracted multiple maternal health programs from the content. Not a maternal health program Data extracted from the specified page content. Not a maternal health program Not a maternal health program
California,Los Angeles,https://www.lacounty.gov/,Not found,Not found,(213) 974-1234,African American Infant & Maternal Mortality Prevention Initiative (AAIMM),Health Equity,Program aimed at reducing infant and maternal mortality rates among African American communities.,African American mothers and infants,Not specified,Not specified,Not specified,Unknown,http://www.publichealth.lacounty.gov/mch/MCAH%20Data%20Resources/MCAH%20Data%20Resources.htm,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted programs focus on maternal health and related services. Extracted multiple maternal health programs from the content. Not a maternal health program Extracted multiple maternal health programs from the content. Not a maternal health program Data extracted from the specified page content. Not a maternal health program Not a maternal health program
California,Los Angeles,https://www.lacounty.gov/,Not found,Not found,(213) 974-1234,Black Infant Health (BIH),Health Equity,Program addressing African American infant mortality through group education and case management.,African American mothers and infants,Not specified,Not specified,Not specified,Unknown,http://www.publichealth.lacounty.gov/mch/MCAH%20Data%20Resources/MCAH%20Data%20Resources.htm,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted programs focus on maternal health and related services. Extracted multiple maternal health programs from the content. Not a maternal health program Extracted multiple maternal health programs from the content. Not a maternal health program Data extracted from the specified page content. Not a maternal health program Not a maternal health program
California,Los Angeles,https://www.lacounty.gov/,Not found,Not found,(213) 974-1234,Comprehensive Perinatal Services Program (CPSP),Perinatal Care,California program providing enhanced prenatal and postpartum care for Medi-Cal eligible women.,Pregnant women and new mothers,Medi-Cal eligibility,Not specified,Not specified,Yes,http://www.publichealth.lacounty.gov/mch/MCAH%20Data%20Resources/MCAH%20Data%20Resources.htm,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted programs focus on maternal health and related services. Extracted multiple maternal health programs from the content. Not a maternal health program Extracted multiple maternal health programs from the content. Not a maternal health program Data extracted from the specified page content. Not a maternal health program Not a maternal health program
California,Los Angeles,https://www.lacounty.gov/,Not found,Not found,(213) 974-1234,Nurse-Family Partnership (NFP),Home Visiting,"Evidence-based nurse home visiting program for first-time, low-income mothers from pregnancy through child's second birthday.","First-time, low-income mothers",Not specified,Not specified,Not specified,Unknown,http://www.publichealth.lacounty.gov/mch/MCAH%20Data%20Resources/MCAH%20Data%20Resources.htm,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted programs focus on maternal health and related services. Extracted multiple maternal health programs from the content. Not a maternal health program Extracted multiple maternal health programs from the content. Not a maternal health program Data extracted from the specified page content. Not a maternal health program Not a maternal health program
California,Los Angeles,https://www.lacounty.gov/,Not found,Not found,(213) 974-1234,Los Angeles Mommy and Baby Project (LAMB),Maternal Child Health,Program providing support and resources for new mothers and their infants.,New mothers and infants,Not specified,Not specified,Not specified,Unknown,http://www.publichealth.lacounty.gov/mch/MCAH%20Data%20Resources/MCAH%20Data%20Resources.htm,2026-02-05,Swindar,Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted programs focus on maternal health and related services. Extracted multiple maternal health programs from the content. Not a maternal health program Extracted multiple maternal health programs from the content. Not a maternal health program Data extracted from the specified page content. Not a maternal health program Not a maternal health program
