State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Sacramento,https://www.saccounty.net/,Department of Health Services,dhs-bhs-jailreferral@saccounty.gov,(916) 875-5345,Medi-Cal Changes in 2026-2028,Tier 1 — Universal,Medi-Cal provides prenatal and pregnancy coverage for eligible individuals.,Pregnant individuals meeting income thresholds; varies by state expansion status,Not specified,Not specified,Not specified,Yes,https://dhs.saccounty.gov/PUB/Pages/Maternal-Adolescent-Health/GI-MCAH-Board-Meetings-2024.aspx,2026-04-20,Swindar,
California,Sacramento,https://www.saccounty.net/,Department of Health Services,dhs-bhs-jailreferral@saccounty.gov,(916) 875-5345,Alliance for Innovation on Maternal Health,Tier 3 — Selective,AIM focuses on improving maternal health safety and quality in birthing hospitals.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women,Not specified,Not specified,Not specified,Unknown,https://dhs.saccounty.gov/PUB/Pages/Maternal-Adolescent-Health/GI-MCAH-Board-Meetings-2024.aspx,2026-04-20,Swindar,
California,Sacramento,https://www.saccounty.net/,Department of Health Services,dhs-bhs-jailreferral@saccounty.gov,(916) 875-5345,Medi-Cal Changes in 2026-2028,Tier 1 — Universal,Medi-Cal provides prenatal and pregnancy coverage for eligible individuals.,Pregnant individuals meeting income thresholds; varies by state expansion status,Not specified,Not specified,Not specified,Yes,https://dhs.saccounty.gov/PUB/Pages/Birth-and-Death-Certificates/AF-Ordering-Certificates-for-Deaths.aspx,2026-04-20,Swindar,
California,Sacramento,https://www.saccounty.net/,Department of Health Services,dhs-bhs-jailreferral@saccounty.gov,(916) 875-5345,Alliance for Innovation on Maternal Health,Tier 3 — Selective,AIM focuses on improving maternal health safety and quality in birthing hospitals.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women,Not specified,Not specified,Not specified,Unknown,https://dhs.saccounty.gov/PUB/Pages/Birth-and-Death-Certificates/AF-Ordering-Certificates-for-Deaths.aspx,2026-04-20,Swindar,
California,Sacramento,https://www.saccounty.net/,Department of Health Services,dhs-bhs-jailreferral@saccounty.gov,(916) 875-5345,Medi-Cal,Tier 1 — Universal,Medi-Cal provides health coverage for pregnant individuals.,Pregnant individuals meeting income thresholds; varies by state expansion status,requirements or Not specified,Not specified,Not specified,Yes,https://dhs.saccounty.gov/PUB/Pages/Maternal-Adolescent-Health/GI-Toll-Free-Referral-Phone-Line.aspx,2026-04-20,Swindar,
California,Sacramento,https://www.saccounty.net/,Department of Health Services,dhs-bhs-jailreferral@saccounty.gov,(916) 875-5345,AIM,Tier 3 — Selective,AIM provides health coverage for low-income pregnant women.,Low-income pregnant women,requirements or Not specified,Not specified,Not specified,Yes,https://dhs.saccounty.gov/PUB/Pages/Maternal-Adolescent-Health/GI-Toll-Free-Referral-Phone-Line.aspx,2026-04-20,Swindar,
California,Sacramento,https://www.saccounty.net/,Department of Health Services,dhs-bhs-jailreferral@saccounty.gov,(916) 875-5345,Healthy Families,Tier 3 — Selective,Healthy Families provides services for families with newborns.,Families with newborns up to 3 months,requirements or Not specified,Not specified,Not specified,Yes,https://dhs.saccounty.gov/PUB/Pages/Maternal-Adolescent-Health/GI-Toll-Free-Referral-Phone-Line.aspx,2026-04-20,Swindar,
California,Sacramento,https://www.saccounty.net/,Department of Health Services,dhs-bhs-jailreferral@saccounty.gov,(916) 875-5345,WIC,Tier 1 — Universal,"WIC provides nutritional support for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",requirements or Not specified,Not specified,Not specified,Yes,https://dhs.saccounty.gov/PUB/Pages/Maternal-Adolescent-Health/GI-Toll-Free-Referral-Phone-Line.aspx,2026-04-20,Swindar,
California,Sacramento,https://www.saccounty.net/,Department of Health Services,dhs-bhs-jailreferral@saccounty.gov,(916) 875-5345,CalAIM Justice-Involved Initiative,Tier 1 — Universal,"The CalAIM JI initiative aims to address systemic inequities in the criminal justice system, particularly the high rates of incarceration linked to mental health issues and the criminalization of substance use disorders.","Individuals in state prisons, county jails, and youth correctional facilities.",Medi-Cal members with qualifying health needs.,Not specified,Not specified,Yes,https://dhs.saccounty.gov/BHS/Pages/CalAIM-Justice-Involved-Initiative.aspx,2026-04-20,Swindar,
California,Sacramento,https://www.saccounty.net/,Department of Health Services,dhs-bhs-jailreferral@saccounty.gov,(916) 875-5345,"Women, Infants & Children (WIC) Program (CDPH)",Tier 1 — Universal,"The WIC program provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://dhs.saccounty.gov/PUB/Pages/Maternal-Adolescent-Health/GI-Breastfeeding-Resources.aspx,2026-04-20,Swindar,
