State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Butte,https://www.buttecounty.net/,Butte County Public Health,Not found,(408) 497-4703,Maternal Child Adolescent Health Program (MCAH),Tier 2 — State-wide,The goal of the Butte County Maternal Child and Adolescent Health (MCAH) program is to ensure all children are born healthy to healthy mothers and to eliminate health status disparities.,"Women, children, and families in Butte County",Not specified,Not specified,Not specified,Unknown,https://www.buttecounty.net/1145/Maternal-Child-Adolescent-Health-Program,2026-04-20,Swindar,
California,Butte,https://www.buttecounty.net/,Butte County Public Health,Not found,(408) 497-4703,WIC,Tier 1 — Universal,"WIC provides nutrition education and supplemental food to low-income pregnant, postpartum, and breastfeeding women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Low-income status,Visit the WIC website or contact local WIC office,Proof of income and residency,Yes,https://www.buttecounty.net/1145/Maternal-Child-Adolescent-Health-Program,2026-04-20,Swindar,
California,Butte,https://www.buttecounty.net/,Butte County Public Health,Not found,(408) 497-4703,Parents as Teachers,Tier 3 — Selective,Parents as Teachers is a program that provides support and education to expectant parents and families with young children.,Expectant parents and families with children from birth through age 3,Not specified,Not specified,Not specified,Unknown,https://www.buttecounty.net/1145/Maternal-Child-Adolescent-Health-Program,2026-04-20,Swindar,
California,Butte,https://www.buttecounty.net/,Butte County Public Health,Not found,(408) 497-4703,Maternal Child Adolescent Health Program (MCAH),Tier 2 — State-wide,The goal of the Butte County Maternal Child and Adolescent Health (MCAH) program is to ensure all children are born healthy to healthy mothers and to eliminate health status disparities.,"Women, children, and families in Butte County",Not specified,Not specified,Not specified,Unknown,https://www.buttecounty.net/1145/Maternal-Child-Adolescent-Health-Program#tab98412d77-9554-4960-8f95-d395d5dd8a81_0,2026-04-20,Swindar,
California,Butte,https://www.buttecounty.net/,Butte County Public Health,Not found,(408) 497-4703,WIC,Tier 1 — Universal,"WIC provides nutrition assistance and education to low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Income thresholds apply,Visit the WIC website for more information,Not specified,Yes,https://www.buttecounty.net/1145/Maternal-Child-Adolescent-Health-Program#tab98412d77-9554-4960-8f95-d395d5dd8a81_0,2026-04-20,Swindar,
California,Butte,https://www.buttecounty.net/,Butte County Public Health,Not found,(408) 497-4703,Parents as Teachers,Tier 3 — Selective,Parents as Teachers provides support and education to expectant parents and families with young children.,Expectant parents and families with children from birth through age 3,Not specified,Not specified,Not specified,Unknown,https://www.buttecounty.net/1145/Maternal-Child-Adolescent-Health-Program#tab98412d77-9554-4960-8f95-d395d5dd8a81_0,2026-04-20,Swindar,
California,Butte,https://www.buttecounty.net/,Butte County Public Health,Not found,(408) 497-4703,Parents as Teachers,Selective,Parents as Teachers program provides support and education to expectant parents and families with children from birth through age 3.,Expectant parents and families with children from birth through age 3.,Not specified,Not specified,Not specified,Unknown,https://www.buttecounty.net/1145/Maternal-Child-Adolescent-Health-Program#tab98412d77-9554-4960-8f95-d395d5dd8a81_1,2026-04-20,Swindar,
California,Butte,https://www.buttecounty.net/,Butte County Public Health,Not found,(408) 497-4703,Maternal Child Adolescent Health Program (MCAH),State-wide,The MCAH program aims to ensure all children are born healthy to healthy mothers and to eliminate health disparities.,"Women, children, and families in Butte County.",Not specified,Not specified,Not specified,Unknown,https://www.buttecounty.net/1145/Maternal-Child-Adolescent-Health-Program#tab98412d77-9554-4960-8f95-d395d5dd8a81_1,2026-04-20,Swindar,
California,Butte,https://www.buttecounty.net/,Butte County Public Health,Not found,(408) 497-4703,WIC,Universal,"The WIC program provides nutrition assistance and education to low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Low-income status,Visit the WIC website or contact local WIC office.,Proof of income and residency,Yes,https://www.buttecounty.net/1145/Maternal-Child-Adolescent-Health-Program#tab98412d77-9554-4960-8f95-d395d5dd8a81_1,2026-04-20,Swindar,
California,Butte,https://www.buttecounty.net/,Butte County Public Health,Not found,(408) 497-4703,Maternal Child Adolescent Health Program (MCAH),Tier 2 — State-wide,"The Maternal Child Adolescent Health Program (MCAH) goal is to help protect and improve the health of Butte County's reproductive-age women, infants, children, adolescents, and their families.","Reproductive-age women, infants, children, adolescents, and their families",Not specified,Not specified,Not specified,Unknown,https://www.buttecounty.net/1118/Maternal-Child-Health,2026-04-20,Swindar,
