State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,CPSP Program Trainings,Maternal Child Health,Trainings offered by the LA County CPSP Team that provide an overview of the CPSP program and guidance on completing protocols and assessment forms.,CPSP providers,Not specified,Not specified,Not specified,No,https://admin.publichealth.lacounty.gov/mch/cpsp/CPSPwebpages/cpsp_training.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,African American Infant and Maternal Mortality Prevention Initiative (AAIMM),Health Equity,"Provides free doula care, fatherhood support, and community involvement opportunities for Black/African American pregnant residents of LA County.",Black/African American pregnant residents,Not specified,Click here to learn more,Not specified,Yes,http://publichealth.lacounty.gov/mch/#support,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,AAIMM Doula Program,Birth Support,"Culturally competent, complimentary support for Black/African American pregnant residents of LA County.",Black/African American pregnant residents,Not specified,Click here to learn more,Not specified,Yes,http://publichealth.lacounty.gov/mch/#support,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Black Infant Health,Maternal Child Health,Prenatal and postpartum services for black women 16 years or older to encourage healthy behaviors during pregnancy.,Black women 16 years or older,Not specified,Click here to learn more,Not specified,Yes,http://publichealth.lacounty.gov/mch/#support,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Comprehensive Perinatal Services Program,Perinatal Care,Statewide comprehensive perinatal services program offering technical support and resources to LA County providers.,Medi-Cal eligible women,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/#support,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Home Visiting Programs,Home Visiting,FREE home visiting programs from pregnancy through age 5 that bring support right to you.,Pregnant women and families with children up to age 5,Not specified,Click here to learn more,Not specified,Yes,http://publichealth.lacounty.gov/mch/#support,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Comprehensive Perinatal Services Program (CPSP),Perinatal Care,"The Comprehensive Perinatal Services Program (CPSP) is an enhanced obstetrical program for Medi-Cal eligible pregnant women that includes health education, nutrition, and psychosocial assessments and interventions.",Pregnant women,Medi-Cal eligibility,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/cpsp/cpspproviders/providerlist.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Black Infant Health (BIH),Health Equity,"California program addressing African American infant mortality through culturally-specific group education, peer support, and case management.",African American mothers and infants,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/cpsp/cpspproviders/providerlist.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Nurse-Family Partnership (NFP),Home Visiting,"Evidence-based nurse home visiting program for first-time, low-income mothers from pregnancy through child's second birthday.","First-time, low-income mothers",Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/cpsp/cpspproviders/providerlist.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,African American Infant & Maternal Mortality Prevention Initiative (AAIMM),Health Equity,Program aimed at reducing infant and maternal mortality rates among African American populations.,African American mothers and infants,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/cpsp/cpspproviders/providerlist.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
