State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,San Luis Obispo,https://www.slocounty.ca.gov/,County of San Luis Obispo,Not found,(805) 781-5570,"Women, Infants and Children (WIC)",Tier 1 — Universal,"WIC Program helps families by providing nutrition education, breastfeeding support, healthy foods, and referrals to health care and other community services.","Low-income pregnant, postpartum, and breastfeeding women; infants and children up to 5 years of age.","Individuals who are pregnant, breastfeeding, or just had a baby in the past 6 months; children up to 5 years of age; meet WIC income guidelines or receive Medi-Cal, CalWORKS or CalFresh benefits.",Call (805) 781-5570 or text (888) 417-6180 to schedule an appointment.,"Identification for the persons applying for WIC, proof of all family income, proof of street address.",Yes,"https://www.slocounty.ca.gov/departments/health-agency/public-health/all-public-health-services/health-promotion/women,-infants-and-children-(wic)",2026-04-20,Swindar,No direct matches to known maternal health programs in the registry.
California,San Luis Obispo,https://www.slocounty.ca.gov/,County of San Luis Obispo,Not found,(805) 781-5570,Nurse-Family Partnership,Selective,Nurse-Family Partnership (NFP) is an evidence-based nurse home-visiting program serving first-time mothers.,First-time mothers enrolled by 28 weeks gestation.,Mothers must enroll before 28 weeks gestation.,Contact (805) 788-2068 to find out if these services are right for you.,Not specified,Yes,https://www.slocounty.ca.gov/departments/health-agency/public-health/all-public-health-services/maternal-child-health/nurse-home-visiting,2026-04-20,Swindar,No direct matches to known maternal health programs in the registry.
California,San Luis Obispo,https://www.slocounty.ca.gov/,County of San Luis Obispo,Not found,(805) 781-5570,Healthy Families America,Selective,"Health Families America (HFA) is also an evidenced-based home visiting program, designed to serve parents with one or more children.",Families currently expecting and those who recently delivered a child in the past 3 months.,Not specified,Not specified,Not specified,Yes,https://www.slocounty.ca.gov/departments/health-agency/public-health/all-public-health-services/maternal-child-health/nurse-home-visiting,2026-04-20,Swindar,No direct matches to known maternal health programs in the registry.
California,San Luis Obispo,https://www.slocounty.ca.gov/,County of San Luis Obispo,Not found,(805) 781-5570,Comprehensive Perinatal Services Program,Tier 2,A program that provides comprehensive services to pregnant women to ensure healthy pregnancies and births.,Pregnant women,Not specified,Not specified,Not specified,Unknown,"https://www.slocounty.ca.gov/departments/health-agency/public-health/all-public-health-services/maternal-child-health/maternal,-child-adolescent-health",2026-04-20,Swindar,No direct matches to known maternal health programs in the registry.
California,San Luis Obispo,https://www.slocounty.ca.gov/,County of San Luis Obispo,Not found,(805) 781-5570,Nurse Home Visiting,Tier 3,A program that provides home visits by nurses to support first-time mothers and their infants.,"First-time, low-income pregnant women",Enrolled by 28 weeks gestation,Not specified,Not specified,Unknown,"https://www.slocounty.ca.gov/departments/health-agency/public-health/all-public-health-services/maternal-child-health/maternal,-child-adolescent-health",2026-04-20,Swindar,No direct matches to known maternal health programs in the registry.
California,San Luis Obispo,https://www.slocounty.ca.gov/,County of San Luis Obispo,Not found,(805) 781-5570,"Women, Infants and Children (WIC)",Tier 1,"A nutrition program that provides assistance to low-income pregnant women, new mothers, and young children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Income eligibility required,Not specified,Not specified,Yes,"https://www.slocounty.ca.gov/departments/health-agency/public-health/all-public-health-services/maternal-child-health/maternal,-child-adolescent-health",2026-04-20,Swindar,No direct matches to known maternal health programs in the registry.
California,San Luis Obispo,https://www.slocounty.ca.gov/,County of San Luis Obispo,Not found,(805) 781-5570,Perinatal Mood and Anxiety Disorder (PMAD),Tier 3,A program that provides support and resources for individuals experiencing mood and anxiety disorders during the perinatal period.,Pregnant and postpartum individuals,Not specified,Not specified,Not specified,Unknown,"https://www.slocounty.ca.gov/departments/health-agency/public-health/all-public-health-services/maternal-child-health/maternal,-child-adolescent-health",2026-04-20,Swindar,No direct matches to known maternal health programs in the registry.
California,San Luis Obispo,https://www.slocounty.ca.gov/,County of San Luis Obispo,Not found,(805) 781-5570,National Maternal Mental Health Hotline,Tier 2 — State-wide,"Free, confidential, 24/7 hotline for pregnant and postpartum women and their families.",Pregnant and postpartum individuals experiencing mental health challenges,Not specified,Not specified,Not specified,No,https://www.slocounty.ca.gov/departments/health-agency/public-health/all-public-health-services/maternal-child-health/perinatal-mood-anxiety-disorder-(pmad),2026-04-20,Swindar,No direct matches to known maternal health programs in the registry.
California,San Luis Obispo,https://www.slocounty.ca.gov/,County of San Luis Obispo,Not found,(805) 781-5570,"County of SLO Women, Infants, and Children (WIC)",Tier 1 — Universal,"Food assistance using E-WIC debit cards, nutrition counseling, breastfeeding support, and referrals for eligible individuals.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Check your eligibility,"Find a WIC office closest to you, plus pop-up events",Not specified,Yes,https://www.slocounty.ca.gov/departments/health-agency/public-health/all-public-health-services/maternal-child-health/perinatal-mood-anxiety-disorder-(pmad),2026-04-20,Swindar,No direct matches to known maternal health programs in the registry.
California,San Luis Obispo,https://www.slocounty.ca.gov/,County of San Luis Obispo,Not found,(805) 781-5570,California WIC Formula,Tier 1 — Universal,"California WIC provides breastfeeding support and infant feeding guidance to families, along with specific infant formulas.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,"https://www.slocounty.ca.gov/departments/health-agency/public-health/all-public-health-services/health-promotion/women,-infants-and-children-(wic)/california-wic-formula",2026-04-20,Swindar,No direct matches to known maternal health programs in the registry.
