State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Kern,https://www.kernpublichealth.com/,Kern County Public Health,bih@kerncounty.com,(661) 321-3000,Black Infant Health Program,Tier 3 — Selective,A program aimed at addressing the higher rates of infant mortality among Black/African American women.,Black/African American women of childbearing age,Not specified,Not specified,Not specified,Unknown,https://www.kernpublichealth.com/healthy-community/women-s-health/maternal-child-adolescent-health,2026-04-20,Swindar,Extracted program is unmatched in the registry.
California,Kern,https://www.kernpublichealth.com/,Kern County Public Health,bih@kerncounty.com,(661) 321-3000,California Home Visiting Care Coordination Project (Nurse Family Partnership),Tier 3 — Selective,"A home visiting program that supports first-time, low-income pregnant women.","First-time, low-income pregnant women",Enrolled by 28 weeks gestation,Not specified,Not specified,Unknown,https://www.kernpublichealth.com/healthy-community/women-s-health/maternal-child-adolescent-health,2026-04-20,Swindar,Extracted program is unmatched in the registry.
California,Kern,https://www.kernpublichealth.com/,Kern County Public Health,bih@kerncounty.com,(661) 321-3000,Comprehensive Perinatal Services Program,UNMATCHED,A program providing comprehensive services for pregnant individuals.,Pregnant individuals,Not specified,Not specified,Not specified,Unknown,https://www.kernpublichealth.com/healthy-community/women-s-health/maternal-child-adolescent-health,2026-04-20,Swindar,Extracted program is unmatched in the registry.
California,Kern,https://www.kernpublichealth.com/,Kern County Public Health,bih@kerncounty.com,(661) 321-3000,Fetal Infant Mortality Review,Tier 3 — Selective,A program that conducts retrospective reviews of fetal and infant deaths.,Indirectly benefits all pregnant individuals,Not specified,Not specified,Not specified,Unknown,https://www.kernpublichealth.com/healthy-community/women-s-health/maternal-child-adolescent-health,2026-04-20,Swindar,Extracted program is unmatched in the registry.
California,Kern,https://www.kernpublichealth.com/,Kern County Public Health,bih@kerncounty.com,(661) 321-3000,Perinatal Outreach Program,Tier 3 — Selective,The Perinatal Outreach Program helps pregnant women in Kern County get the care they need through home visits and health education.,Pregnant women in Kern County,Pregnant (up to 36 weeks) and reside in Kern County,Individuals can self-refer or be referred by healthcare providers or community agencies.,Not specified,Unknown,https://www.kernpublichealth.com/healthy-community/women-s-health/perinatal-outreach-program,2026-04-20,Swindar,Extracted program is unmatched in the registry.
California,Kern,https://www.kernpublichealth.com/,Kern County Public Health,bih@kerncounty.com,(661) 321-3000,home visits,Not specified,Programs prioritize community care through home visits.,Not specified,Not specified,Not specified,Not specified,Unknown,https://www.kernpublichealth.com/?splash=https%3a%2f%2fncfrp.org%2ffimr%2f&____isexternal=true,2026-04-20,Swindar,Extracted program is unmatched in the registry.
California,Kern,https://www.kernpublichealth.com/,Kern County Public Health,bih@kerncounty.com,(661) 321-3000,Comprehensive Perinatal Services Program,Tier 2 — State-wide,"CPSP gives free support to pregnant women in Kern County who have Medi-Cal, helping moms stay healthy and giving babies the best start in life.",Pregnant women with Medi-Cal,"If you’re pregnant and have Medi-Cal, you may qualify.",Ask your doctor about CPSP or call the Perinatal Care Network.,Not specified,Yes,https://www.kernpublichealth.com/healthy-community/women-s-health/comprehensive-perinatal-service,2026-04-20,Swindar,Extracted program is unmatched in the registry.
California,Kern,https://www.kernpublichealth.com/,Kern County Public Health,bih@kerncounty.com,(661) 321-3000,Fetal Infant Mortality Review,Tier 3 — Selective,"Fetal Infant Mortality Review (FIMR) is a community-based, action-oriented process to review fetal and infant deaths and make recommendations that spark systems-level changes and prevent future deaths.","Pregnant women and infants, particularly in communities with disparities.",Not specified,Not specified,Not specified,Unknown,https://www.kernpublichealth.com/healthy-community/women-s-health/maternal-child-adolescent-health/fetal-infant-mortality-review,2026-04-20,Swindar,Extracted program is unmatched in the registry.
California,Kern,https://www.kernpublichealth.com/,Kern County Public Health,bih@kerncounty.com,(661) 321-3000,Family Planning Methods,Tier 2 — State-wide,Family planning methods are essential for reducing the risk of unintended pregnancy.,Low-income individuals seeking family planning and reproductive health services,Not specified,Not specified,Not specified,Unknown,https://www.kernpublichealth.com/healthy-community/adults-families/birth-control-methods,2026-04-20,Swindar,Extracted program is unmatched in the registry.
California,Kern,https://www.kernpublichealth.com/,Kern County Public Health,bih@kerncounty.com,(661) 321-3000,Black Infant Health Program,Tier 3 — Selective,The Black Infant Health (BIH) Program is dedicated to empowering Black/African American women by providing free services that promote healthy pregnancies and strong babies.,"Black/African American women who are 16 years or older, pregnant or up to six months postpartum.",Open to all income levels—services are free!,"If you would like to refer yourself or another person to BIH, please call (661) 321-3000 or submit a referral form by fax to (661) 868-1291 or by e-mail to bih@kerncounty.com.",Not specified,Yes,https://www.kernpublichealth.com/healthy-community/women-s-health/black-infant-health-program,2026-04-20,Swindar,Extracted program is unmatched in the registry.
