State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Del Norte,https://www.dnco.org/,Del Norte County Public Health,healthyfamilies@dnco.org,(707) 464-0861,Healthy Families Del Norte,Tier 3 — Selective,"Healthy Families Del Norte County is an evidence-based home visiting program, accredited by Healthy Families America (HFA). It provides voluntary, free services starting during pregnancy or the first few months of a baby's life.",Pregnant individuals or families with infants under 3 months.,Be Del Norte County residents; be pregnant or have an infant under 3 months; willing to participate.,Self-referrals are welcome; call or complete the referral form.,Not specified,No,https://www.co.del-norte.ca.us/departments/PublicHealth/HealthyFamiliesDelNorte,2026-04-20,Swindar,
California,Del Norte,https://www.dnco.org/,Del Norte County Public Health,healthyfamilies@dnco.org,(707) 464-0861,Women Infants & Children (WIC),Tier 1 — Universal,"The WIC program provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.co.del-norte.ca.us/departments/PublicHealth/MCAH,2026-04-20,Swindar,
California,Del Norte,https://www.dnco.org/,Del Norte County Public Health,healthyfamilies@dnco.org,(707) 464-0861,Healthy Families Del Norte,Tier 3 — Selective,"Healthy Families Del Norte provides support for families with newborns, focusing on stress and risk-factor screening.",Families with newborns up to 3 months,Not specified,Not specified,Not specified,Unknown,https://www.co.del-norte.ca.us/departments/PublicHealth/MCAH,2026-04-20,Swindar,
California,Del Norte,https://www.dnco.org/,Del Norte County Public Health,healthyfamilies@dnco.org,(707) 464-0861,Maternal Mental Health Resources,Tier 3 — Selective,Resources for pregnant and postpartum individuals experiencing mental health challenges.,Pregnant and postpartum individuals,Not specified,Not specified,Not specified,Unknown,https://www.co.del-norte.ca.us/departments/PublicHealth/MCAH,2026-04-20,Swindar,
California,Del Norte,https://www.dnco.org/,Del Norte County Public Health,healthyfamilies@dnco.org,(707) 464-0861,Maternal Child Adolescent Health (MCAH),Tier 2 — State-wide,"Maternal Child Adolescent Health (MCAH) Program is made up of a variety of programs designed to improve and promote the health and wellness of women of reproductive age, infants, children, adolescents, and their families.","Women of reproductive age, infants, children, adolescents, and their families",Not specified,Not specified,Not specified,Unknown,https://www.co.del-norte.ca.us/departments/PublicHealth/MCAH,2026-04-20,Swindar,
California,Del Norte,https://www.dnco.org/,Del Norte County Public Health,healthyfamilies@dnco.org,(707) 464-0861,Women Infants & Children (WIC),Tier 1 — Universal,"WIC provides nutritional support and education for low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Low-income status,Not specified,Not specified,Yes,https://www.co.del-norte.ca.us/departments/PublicHealth/MCAH,2026-04-20,Swindar,
California,Del Norte,https://www.dnco.org/,Del Norte County Public Health,healthyfamilies@dnco.org,(707) 464-0861,Healthy Families Del Norte,Tier 3 — Selective,"Healthy Families Del Norte provides support and resources for families with newborns up to 3 months, focusing on stress and risk-factor screening at birth.",Families with newborns up to 3 months,Not specified,Not specified,Not specified,Unknown,https://www.co.del-norte.ca.us/departments/PublicHealth/MCAH,2026-04-20,Swindar,
California,Del Norte,https://www.dnco.org/,Del Norte County Public Health,healthyfamilies@dnco.org,(707) 464-0861,Healthy Families Del Norte,Tier 3 — Selective,"Healthy Families Del Norte County is an evidence-based home visiting program, accredited by Healthy Families America (HFA). It provides voluntary, free services starting during pregnancy or the first few months of a baby's life.",Families with newborns up to 3 months; pregnant individuals.,Be Del Norte County residents; Be pregnant or have an infant under 3 months; Willing to participate.,Self-referrals are welcome; call or complete the referral form.,Healthy Families HV Referral Form.pdf,No,https://www.co.del-norte.ca.us/departments/PublicHealth/HealthyFamiliesDelNorte,2026-04-20,Swindar,
California,Del Norte,https://www.dnco.org/,Del Norte County Public Health,healthyfamilies@dnco.org,(707) 464-0861,Women Infants & Children (WIC),Tier 1 — Universal,"WIC is a special supplemental nutrition program that provides no-cost services to women, infants, and children.","Low to medium income families living in California, including families who are pregnant, breastfeeding, who just had a baby (or pregnancy loss), or have children under 5 years old.","Newly pregnant individuals, working, military and migrant families may also qualify for the WIC program.",Not specified,Not specified,Yes,https://www.co.del-norte.ca.us/departments/PublicHealth/WIC,2026-04-20,Swindar,
California,Del Norte,https://www.dnco.org/,Del Norte County Public Health,healthyfamilies@dnco.org,(707) 464-0861,Parents as Teachers,Selective,A program that provides parent educator home visits.,Expectant parents and families with children from birth through age 3 (or 5 in some cases).,Not specified,Not specified,Not specified,Unknown,https://www.co.del-norte.ca.us/media/PublicHealth/Public Health Nursing Referral form-- MCAH.pdf,2026-04-20,Swindar,
California,Del Norte,https://www.dnco.org/,Del Norte County Public Health,healthyfamilies@dnco.org,(707) 464-0861,Women Infants & Children (WIC),Tier 1 — Universal,"WIC is a special supplemental nutrition program that provides no-cost services to women, infants, and children.","Low to medium income families living in California, including families who are pregnant, breastfeeding, who just had a baby (or pregnancy loss), or have children under 5 years old.","Newly pregnant individuals, working, military and migrant families may also qualify for the WIC program.",Not specified,Not specified,Yes,https://www.co.del-norte.ca.us/departments/PublicHealth/WIC,2026-04-20,Swindar,
