State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Alameda,https://www.acgov.org/,Alameda County Health,Ashanti.Coffee@acgov.org,(510) 871-1133,"Women, Infants & Children (WIC) Supplemental Nutrition Program",Tier 1 — Universal,"The WIC program provides supplemental nutrition assistance to women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Apply for WIC,Not specified,Yes,https://health.alamedacountyca.gov/program/hepatitis-a/,2026-04-20,Swindar,
California,Alameda,https://www.acgov.org/,Alameda County Health,Ashanti.Coffee@acgov.org,(510) 871-1133,Healthy Families Alameda County,Tier 3 — Selective,Healthy Families America provides support for families with newborns up to 3 months.,Families with newborns up to 3 months; stress and risk-factor screening at birth.,Not specified,Not specified,Not specified,Unknown,https://health.alamedacountyca.gov/program/hepatitis-a/,2026-04-20,Swindar,
California,Alameda,https://www.acgov.org/,Alameda County Health,Ashanti.Coffee@acgov.org,(510) 871-1133,Nurse Family Partnership,Tier 3 — Selective,"Nurse Family Partnership provides home visiting services for first-time, low-income pregnant women.","First-time, low-income pregnant women enrolled by 28 weeks gestation.",Not specified,Not specified,Not specified,Unknown,https://health.alamedacountyca.gov/program/hepatitis-a/,2026-04-20,Swindar,
California,Alameda,https://www.acgov.org/,Alameda County Health,Ashanti.Coffee@acgov.org,(510) 871-1133,"Women, Infants & Children (WIC) Supplemental Nutrition Program",Tier 1 — Universal,"The WIC program provides nutritional support and education to low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Apply for WIC,Not specified,Yes,https://health.alamedacountyca.gov/public-health-services/about-perinatal-hepatitis-b/,2026-04-20,Swindar,
California,Alameda,https://www.acgov.org/,Alameda County Health,Ashanti.Coffee@acgov.org,(510) 871-1133,Healthy Families Alameda County,Tier 3 — Selective,"Healthy Families America provides support to families with newborns up to 3 months, focusing on stress and risk-factor screening at birth.",Families with newborns up to 3 months,Not specified,Not specified,Not specified,Unknown,https://health.alamedacountyca.gov/public-health-services/about-perinatal-hepatitis-b/,2026-04-20,Swindar,
California,Alameda,https://www.acgov.org/,Alameda County Health,Ashanti.Coffee@acgov.org,(510) 871-1133,Nurse Family Partnership,Tier 3 — Selective,"The Nurse-Family Partnership program provides home visiting services by registered nurses to first-time, low-income pregnant women.","First-time, low-income pregnant women",Enrolled by 28 weeks gestation,Not specified,Not specified,Unknown,https://health.alamedacountyca.gov/public-health-services/about-perinatal-hepatitis-b/,2026-04-20,Swindar,
California,Alameda,https://www.acgov.org/,Alameda County Health,Ashanti.Coffee@acgov.org,(510) 871-1133,"Women, Infants & Children (WIC) Supplemental Nutrition Program",Tier 1 — Universal,"Provides supplemental nutrition assistance to women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Apply for WIC,Not specified,Yes,https://health.alamedacountyca.gov/public-health-services/find-alameda-county-chronic-hepatitis-services/,2026-04-20,Swindar,
California,Alameda,https://www.acgov.org/,Alameda County Health,Ashanti.Coffee@acgov.org,(510) 871-1133,Healthy Families Alameda County,Tier 3 — Selective,Supports families with newborns through stress and risk-factor screening.,Families with newborns up to 3 months.,Not specified,Not specified,Not specified,Unknown,https://health.alamedacountyca.gov/public-health-services/find-alameda-county-chronic-hepatitis-services/,2026-04-20,Swindar,
California,Alameda,https://www.acgov.org/,Alameda County Health,Ashanti.Coffee@acgov.org,(510) 871-1133,Nurse Family Partnership,Tier 3 — Selective,Provides home visiting services by registered nurses to first-time mothers.,"First-time, low-income pregnant women enrolled by 28 weeks gestation.",Not specified,Not specified,Not specified,Unknown,https://health.alamedacountyca.gov/public-health-services/find-alameda-county-chronic-hepatitis-services/,2026-04-20,Swindar,
California,Alameda,https://www.acgov.org/,Alameda County Health,Ashanti.Coffee@acgov.org,(510) 871-1133,"Women, Infants & Children (WIC) Supplemental Nutrition Program",Tier 1 — Universal,"The WIC Program provides supplemental nutrition assistance to low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Apply for WIC by scheduling an enrollment appointment through the online form or contacting an office.,Not specified,Yes,https://health.alamedacountyca.gov/apply-for-wic/,2026-04-20,Swindar,
