State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Siskiyou,https://www.co.siskiyou.ca.us/,Siskiyou County Public Health Division,phinfo@co.siskiyou.ca.us,530-841-2134,"Maternal, Child and Adolescent Health (MCAH)",Tier 2 — State-wide,"The MCAH Program aims to develop systems that protect and improve the health of California’s women of reproductive age, infants, children, adolescents, and their families.","Women of reproductive age, infants, children, adolescents, and their families",Not specified,Not specified,Not specified,Unknown,https://www.siskiyoucounty.gov/publichealth/page/maternal-child-and-adolescent-health-mcah,2026-04-20,Swindar,Matched program_id for WIC but not for postpartum depression. No maternal health programs found; only mental health program mentioned. Matched program_id not found in registry.
California,Siskiyou,https://www.co.siskiyou.ca.us/,Siskiyou County Public Health Division,phinfo@co.siskiyou.ca.us,530-841-2134,"Women, Infant, and Children (WIC)",Tier 1 — Universal,"WIC provides nutritional support and education for low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.siskiyoucounty.gov/publichealth/page/maternal-child-and-adolescent-health-mcah,2026-04-20,Swindar,Matched program_id for WIC but not for postpartum depression. No maternal health programs found; only mental health program mentioned. Matched program_id not found in registry.
California,Siskiyou,https://www.co.siskiyou.ca.us/,Siskiyou County Public Health Division,phinfo@co.siskiyou.ca.us,530-841-2134,Medi-Cal Enrollment Assistance,Tier 1 — Universal,Assistance with enrollment in Medi-Cal for pregnant individuals.,Pregnant individuals meeting income thresholds,Not specified,Not specified,Not specified,Yes,https://www.siskiyoucounty.gov/publichealth/page/maternal-child-and-adolescent-health-mcah,2026-04-20,Swindar,Matched program_id for WIC but not for postpartum depression. No maternal health programs found; only mental health program mentioned. Matched program_id not found in registry.
California,Siskiyou,https://www.co.siskiyou.ca.us/,Siskiyou County Public Health Division,phinfo@co.siskiyou.ca.us,530-841-2134,Postpartum Depression,Maternal Mental Health,"Postpartum depression is a type of depression that happens after having a baby, affecting emotional well-being.",People who have recently given birth experiencing postpartum depression.,Not specified,Not specified,Not specified,Unknown,https://www.siskiyoucounty.gov/publichealth/page/postpartum-depression,2026-04-20,Swindar,Matched program_id for WIC but not for postpartum depression. No maternal health programs found; only mental health program mentioned. Matched program_id not found in registry.
California,Siskiyou,https://www.co.siskiyou.ca.us/,Siskiyou County Public Health Division,phinfo@co.siskiyou.ca.us,530-841-2134,"Women, Infant & Children (WIC)",Tier 1 — Universal,"WIC is a federally funded program that provides healthy food benefits, nutrition education, breastfeeding support and family resources at no cost.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.","Are pregnant, breastfeeding, just had a baby (or recent pregnancy loss); or have a child or care for a child under age 5; and have low-to-medium income or receive Medi-Cal, CalWORKs (TANF), or CalFresh (SNAP) benefits; and live in California or are a Migrant Farm Worker.",Contact to schedule an appointment or use the WIC eligibility assessment tool.,Not specified,Yes,https://www.siskiyoucounty.gov/publichealth/page/women-infant-children-wic,2026-04-20,Swindar,Matched program_id for WIC but not for postpartum depression. No maternal health programs found; only mental health program mentioned. Matched program_id not found in registry.
California,Siskiyou,https://www.co.siskiyou.ca.us/,Siskiyou County Public Health Division,phinfo@co.siskiyou.ca.us,530-841-2134,Assisted Outpatient Treatment,Mental Health,Assisted Outpatient Treatment (AOT) is intensive court-ordered treatment in the community for adults with severe mental illness who are not currently engaged in treatment.,Adults with severe mental illness,Strict criteria for who qualifies for involuntary AOT services,Not specified,Not specified,Unknown,https://www.siskiyoucounty.gov/behavioralhealth/page/assisted-outpatient-treatment,2026-04-20,Swindar,Matched program_id for WIC but not for postpartum depression. No maternal health programs found; only mental health program mentioned. Matched program_id not found in registry.
California,Siskiyou,https://www.co.siskiyou.ca.us/,Siskiyou County Public Health Division,phinfo@co.siskiyou.ca.us,530-841-2134,"Women, Infant, and Children (WIC)",Tier 1 — Universal,"The WIC program provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.siskiyoucounty.gov/publichealth/page/marijuana-use-during-pregnancy,2026-04-20,Swindar,Matched program_id for WIC but not for postpartum depression. No maternal health programs found; only mental health program mentioned. Matched program_id not found in registry.
California,Siskiyou,https://www.co.siskiyou.ca.us/,Siskiyou County Public Health Division,phinfo@co.siskiyou.ca.us,530-841-2134,Next Step Intensive Outpatient Treatment for Women,Selective,Next Step intensive outpatient treatment is provided to adult substance-using women who are pregnant and/or parenting children the age of 17 and under.,Adult women who are pregnant and/or parenting children 17 and under.,Preference is given to women who are also eligible for Perinatal Services.,Not specified,Not specified,Yes,https://www.siskiyoucounty.gov/behavioralhealth/page/next-step-intensive-outpatient-treatment-women,2026-04-20,Swindar,Matched program_id for WIC but not for postpartum depression. No maternal health programs found; only mental health program mentioned. Matched program_id not found in registry.
California,Siskiyou,https://www.co.siskiyou.ca.us/,Siskiyou County Public Health Division,phinfo@co.siskiyou.ca.us,530-841-2134,CalAIM Justice Involved Initiative,BH CalAIM,The CalAIM Justice-Involved Initiative aims to connect eligible Californians who are incarcerated to community-based care upon their release.,Adults with health needs including pregnant individuals and youth in custody.,Adults who meet one or more health needs criteria or youth in custody.,Incarcerated members can call SCAL directly.,Not specified,Unknown,https://www.siskiyoucounty.gov/behavioralhealth/page/cal-aim-justice-involved-initiative,2026-04-20,Swindar,Matched program_id for WIC but not for postpartum depression. No maternal health programs found; only mental health program mentioned. Matched program_id not found in registry.
California,Siskiyou,https://www.co.siskiyou.ca.us/,Siskiyou County Public Health Division,phinfo@co.siskiyou.ca.us,530-841-2134,"Women, Infant & Children (WIC)",Tier 1 — Universal,"The WIC program provides nutrition and breastfeeding education, parenting education, and support for families with children with special healthcare needs.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.siskiyoucounty.gov/publichealth/page/maternal-child-health-programs,2026-04-20,Swindar,Matched program_id for WIC but not for postpartum depression. No maternal health programs found; only mental health program mentioned. Matched program_id not found in registry.
