State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Inyo,https://www.inyocounty.us/,Inyo County Health and Human Services,klent@inyocounty.us,760.872.2908,WIC,Tier 1 — Universal,"Special Supplemental Nutrition Program for Women, Infants, and Children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.inyocounty.us/risk/claims-against-county,2026-04-20,Swindar,
California,Inyo,https://www.inyocounty.us/,Inyo County Health and Human Services,klent@inyocounty.us,760.872.2908,Alliance for Innovation on Maternal Health,Tier 3 — Selective,Alliance for Innovation on Maternal Health focuses on maternal safety and quality improvement.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women.,Not specified,Not specified,Not specified,Unknown,https://www.inyocounty.us/risk/claims-against-county,2026-04-20,Swindar,
California,Inyo,https://www.inyocounty.us/,Inyo County Health and Human Services,klent@inyocounty.us,760.872.2908,WIC Program,Tier 1 — Universal,"WIC serves low-to-moderate income families including pregnant women, breastfeeding mothers, and children up to age five.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Participants must meet WIC income guidelines.,Call to schedule an eligibility assessment.,Not specified,Yes,https://www.inyocounty.us/services/health-human-services/public-health-and-prevention-division/wic/do-i-qualify,2026-04-20,Swindar,
California,Inyo,https://www.inyocounty.us/,Inyo County Health and Human Services,klent@inyocounty.us,760.872.2908,Home Visiting,Tier 2 — State-wide,Home Visiting provides support and resources to families with young children.,Pregnant women and parents with children 0-5 in at-risk communities.,Not specified,Not specified,Not specified,Unknown,https://www.inyocounty.us/first5,2026-04-20,Swindar,
California,Inyo,https://www.inyocounty.us/,Inyo County Health and Human Services,klent@inyocounty.us,760.872.2908,WIC,Tier 1 — Universal,"WIC provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.inyocounty.us/first5,2026-04-20,Swindar,
California,Inyo,https://www.inyocounty.us/,Inyo County Health and Human Services,klent@inyocounty.us,760.872.2908,Maternal Child & Adolescent Health (MCAH),Tier 2 — State-wide,"The MCAH Program is dedicated to developing systems that protect and improve the health of women, infants, children, adolescents, and their families.","Women, infants, children, adolescents, and families",Not specified,Not specified,Not specified,Unknown,https://www.inyocounty.us/public-health-clinic/maternal-child-adolescent-health-mcah,2026-04-20,Swindar,
California,Inyo,https://www.inyocounty.us/,Inyo County Health and Human Services,klent@inyocounty.us,760.872.2908,WIC,Tier 1 — Universal,"WIC provides nutritional support and education for low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Income eligibility criteria apply,Contact local WIC office,Proof of income and residency,Yes,https://www.inyocounty.us/public-health-clinic/maternal-child-adolescent-health-mcah,2026-04-20,Swindar,
California,Inyo,https://www.inyocounty.us/,Inyo County Health and Human Services,klent@inyocounty.us,760.872.2908,Maternal Child & Adolescent Health (MCAH),Tier 1 - Universal,"The MCAH Program is dedicated to developing systems that protect and improve the health of women, infants, children, adolescents, and their families.","Women, infants, children, adolescents, and families",Not specified,Not specified,Not specified,Unknown,https://www.inyocounty.us/public-health-clinic/maternal-child-adolescent-health-mcah,2026-04-20,Swindar,
California,Inyo,https://www.inyocounty.us/,Inyo County Health and Human Services,klent@inyocounty.us,760.872.2908,WIC,Tier 1 - Universal,"WIC provides nutritional support and education for low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Income eligibility criteria apply,Contact local WIC office,Proof of income and residency,Yes,https://www.inyocounty.us/public-health-clinic/maternal-child-adolescent-health-mcah,2026-04-20,Swindar,
California,Inyo,https://www.inyocounty.us/,Inyo County Health and Human Services,klent@inyocounty.us,760.872.2908,Alliance for Innovation on Maternal Health (AIM),Tier 3 - Selective,AIM focuses on improving maternal health outcomes through quality improvement initiatives in birthing hospitals.,Birthing hospitals and obstetric providers,Not specified,Not specified,Not specified,Unknown,https://www.inyocounty.us/public-health-clinic/maternal-child-adolescent-health-mcah,2026-04-20,Swindar,
