State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,San Benito,https://www.cosb.us/,San Benito County Health and Human Services Agency,infohhsa@sanbenitocountyca.gov,831-636-4035,Maternal Health for Pregnant Women,Maternal Health,Services aimed at supporting pregnant women in San Benito County.,Pregnant women,Not specified,Not specified,Not specified,Unknown,https://hhsa.sanbenitocountyca.gov/maternal-child-adolescent-health/#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6IjE4MTUiLCJ0b2dnbGUiOmZhbHNlfQ%3D%3D,2026-04-20,Swindar,The program listed does not match any specific program_id from the registry.
California,San Benito,https://www.cosb.us/,San Benito County Health and Human Services Agency,infohhsa@sanbenitocountyca.gov,831-636-4035,Family Planning Services,Family Planning,Services that provide family planning and reproductive health support.,Low-income individuals seeking family planning services,Not specified,Not specified,Not specified,Unknown,https://hhsa.sanbenitocountyca.gov/maternal-child-adolescent-health/#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6IjE4MTUiLCJ0b2dnbGUiOmZhbHNlfQ%3D%3D,2026-04-20,Swindar,The program listed does not match any specific program_id from the registry.
California,San Benito,https://www.cosb.us/,San Benito County Health and Human Services Agency,infohhsa@sanbenitocountyca.gov,831-636-4035,Alliance for Innovation on Maternal Health,Maternal Health,A program aimed at improving maternal health safety and quality.,Birthing hospitals and obstetric providers,Not specified,Not specified,Not specified,Unknown,https://hhsa.sanbenitocountyca.gov/maternal-child-adolescent-health/#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6IjE4MTUiLCJ0b2dnbGUiOmZhbHNlfQ%3D%3D,2026-04-20,Swindar,The program listed does not match any specific program_id from the registry.
California,San Benito,https://www.cosb.us/,San Benito County Health and Human Services Agency,infohhsa@sanbenitocountyca.gov,831-636-4035,Comprehensive Perinatal Services Program (CPSP),Tier 2 — State-wide,"The CPSP provides a wide range of culturally competent services to Medi-Cal pregnant women, from conception through 60 days postpartum.",Medi-Cal pregnant women,Must be enrolled in Medi-Cal,Not specified,Not specified,Yes,https://hhsa.sanbenitocountyca.gov/maternal-health-for-pregnant-women/#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6IjE4MTUiLCJ0b2dnbGUiOmZhbHNlfQ%3D%3D,2026-04-20,Swindar,The program listed does not match any specific program_id from the registry.
California,San Benito,https://www.cosb.us/,San Benito County Health and Human Services Agency,infohhsa@sanbenitocountyca.gov,831-636-4035,WIC Women and Infant Children,Tier 1 — Universal,"WIC serves more than 6 million pregnant and post-partum women, infants, and children in the US, providing nutrition assistance.","Low-income pregnant and post-partum women, infants, and children",Gross income must be no more than 185 percent of the federal poverty level and at nutritional risk.,Not specified,Not specified,Yes,https://hhsa.sanbenitocountyca.gov/maternal-health-for-pregnant-women/#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6IjE4MTUiLCJ0b2dnbGUiOmZhbHNlfQ%3D%3D,2026-04-20,Swindar,The program listed does not match any specific program_id from the registry.
California,San Benito,https://www.cosb.us/,San Benito County Health and Human Services Agency,infohhsa@sanbenitocountyca.gov,831-636-4035,Goals of MCAH,Not specified,"The goals include maintaining resources, connecting with families, monitoring breastfeeding rates, and increasing mental health awareness.","Local families, women in San Benito County",Not specified,Not specified,Not specified,Unknown,https://hhsa.sanbenitocountyca.gov/goals-of-mcah-2/,2026-04-20,Swindar,The program listed does not match any specific program_id from the registry.
California,San Benito,https://www.cosb.us/,San Benito County Health and Human Services Agency,infohhsa@sanbenitocountyca.gov,831-636-4035,Maternal Health for Pregnant Women,Maternal Health,Services aimed at supporting pregnant women in San Benito County.,Pregnant women,Not specified,Not specified,Not specified,Unknown,https://hhsa.sanbenitocountyca.gov/maternal-child-adolescent-health/,2026-04-20,Swindar,The program listed does not match any specific program_id from the registry.
California,San Benito,https://www.cosb.us/,San Benito County Health and Human Services Agency,infohhsa@sanbenitocountyca.gov,831-636-4035,Family Planning Services,Family Planning,Services that provide family planning and reproductive health support.,Low-income individuals seeking family planning services,Not specified,Not specified,Not specified,Unknown,https://hhsa.sanbenitocountyca.gov/maternal-child-adolescent-health/,2026-04-20,Swindar,The program listed does not match any specific program_id from the registry.
California,San Benito,https://www.cosb.us/,San Benito County Health and Human Services Agency,infohhsa@sanbenitocountyca.gov,831-636-4035,Alliance for Innovation on Maternal Health,Maternal Health,Program aimed at improving maternal health safety and quality.,Birthing hospitals and obstetric providers,Not specified,Not specified,Not specified,Unknown,https://hhsa.sanbenitocountyca.gov/maternal-child-adolescent-health/,2026-04-20,Swindar,The program listed does not match any specific program_id from the registry.
California,San Benito,https://www.cosb.us/,San Benito County Health and Human Services Agency,infohhsa@sanbenitocountyca.gov,831-636-4035,Comprehensive Perinatal Services Program (CPSP),Tier 1 — Universal,"The Comprehensive Perinatal Services Program provides a wide range of culturally competent services to Medi-Cal pregnant women, from conception through 60 days postpartum.",Medi-Cal pregnant women,Must be enrolled in Medi-Cal,Not specified,Not specified,Yes,https://hhsa.sanbenitocountyca.gov/maternal-health-for-pregnant-women/,2026-04-20,Swindar,The program listed does not match any specific program_id from the registry.
