State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Sutter,https://www.suttercounty.org/,Sutter County Public Health,MCAH@co.sutter.ca.us,(530) 822-7215,Medi-Cal,Tier 1 — Universal,Medi-Cal provides prenatal and pregnancy coverage for eligible individuals.,Pregnant individuals meeting income thresholds; varies by state expansion status,Not specified,Not specified,Not specified,Yes,https://www.sutter.gov/?splash=https%3a%2f%2fwww.cdc.gov%2fpreconception%2fplanning.html&____isexternal=true,2026-04-20,Swindar,
California,Sutter,https://www.suttercounty.org/,Sutter County Public Health,MCAH@co.sutter.ca.us,(530) 822-7215,Alliance for Innovation on Maternal Health,Tier 3 — Selective,AIM focuses on improving maternal health safety and quality in birthing hospitals.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women,Not specified,Not specified,Not specified,Unknown,https://www.sutter.gov/?splash=https%3a%2f%2fwww.cdc.gov%2fpreconception%2fplanning.html&____isexternal=true,2026-04-20,Swindar,
California,Sutter,https://www.suttercounty.org/,Sutter County Public Health,MCAH@co.sutter.ca.us,(530) 822-7215,WIC,Tier 1 — Universal,"WIC offers a wide variety of classes to meet the needs of your family, including nutrition education tailored to individual needs.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.sutter.gov/government/county-departments/health-and-human-services/public-health-branch/the-women-infants-and-children-wic-program/nutrition-education,2026-04-20,Swindar,
California,Sutter,https://www.suttercounty.org/,Sutter County Public Health,MCAH@co.sutter.ca.us,(530) 822-7215,Healthy Families Sutter County Home Visiting Program,Tier 3 — Selective,"Healthy Families Sutter County is an evidence-based home visiting program, accredited by Healthy Families America, providing voluntary, free services starting during pregnancy or the first few months of a baby's life.","Pregnant individuals or parents with an infant under three months old, Medi-Cal eligible.","Must be Sutter County residents, Medi-Cal eligible, and willing to participate.",Self-referrals are welcome; call or complete the referral form.,Not specified,No,https://www.sutter.gov/government/county-departments/health-and-human-services/public-health-branch/maternal-child-adolescent-health/healthy-families-sutter-county,2026-04-20,Swindar,
California,Sutter,https://www.suttercounty.org/,Sutter County Public Health,MCAH@co.sutter.ca.us,(530) 822-7215,WIC,Tier 1 — Universal,WIC provides support for breastfeeding and offers education and resources to mothers.,"Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.sutter.gov/government/county-departments/health-and-human-services/public-health-branch/the-women-infants-and-children-wic-program/breastfeeding-support,2026-04-20,Swindar,
California,Sutter,https://www.suttercounty.org/,Sutter County Public Health,MCAH@co.sutter.ca.us,(530) 822-7215,"WIC: Women, infants, & Children (WIC) Program",Tier 1 — Universal,A federally funded health and nutrition program that assists families in achieving their breastfeeding goals.,"Low-income pregnant, postpartum, and breastfeeding women; infants and children",A short screening process over the phone or in-person can help you find out if you qualify.,Screening process over the phone or in-person,Not specified,Yes,https://www.sutter.gov/government/county-departments/health-and-human-services/public-health-branch/maternal-child-adolescent-health/lactation-support,2026-04-20,Swindar,
California,Sutter,https://www.suttercounty.org/,Sutter County Public Health,MCAH@co.sutter.ca.us,(530) 822-7215,Home Visits,Tier 3 — Selective,Personalized support provided by counselors who can visit your home.,Expectant parents and families with children from birth through age 3,Not specified,Not specified,Not specified,Unknown,https://www.sutter.gov/government/county-departments/health-and-human-services/public-health-branch/maternal-child-adolescent-health/lactation-support,2026-04-20,Swindar,
California,Sutter,https://www.suttercounty.org/,Sutter County Public Health,MCAH@co.sutter.ca.us,(530) 822-7215,First Steps Perinatal Treatment Program,Selective,The First Steps Perinatal Program provides SUD outpatient and intensive outpatient treatment services to pregnant or parenting women struggling with a Substance Use Disorder.,Pregnant or parenting women struggling with a Substance Use Disorder.,"Admission preference is given to women who are pregnant injecting drug users, pregnant substance users and substance using women with dependent children.","Walk-in, telephone, or tele-health screenings are available.",Not specified,Unknown,https://www.sutter.gov/government/county-departments/health-and-human-services/adult-services-branch/adult-substance-use-disorder-services-suds/first-steps-perinatal-treatment-program,2026-04-20,Swindar,
California,Sutter,https://www.suttercounty.org/,Sutter County Public Health,MCAH@co.sutter.ca.us,(530) 822-7215,WIC,Tier 1 — Universal,"The WIC program provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children under 5.","Must be in one of the categories served by WIC, live in California, and meet income guidelines.",A short screening process over the phone or in-person.,Not specified,Yes,https://www.sutter.gov/government/county-departments/health-and-human-services/public-health-branch/the-women-infants-and-children-wic-program/how-to-apply,2026-04-20,Swindar,
California,Sutter,https://www.suttercounty.org/,Sutter County Public Health,MCAH@co.sutter.ca.us,(530) 822-7215,WIC Sites and Offices,Tier 1 — Universal,"The WIC program provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.sutter.gov/government/county-departments/health-and-human-services/public-health-branch/the-women-infants-and-children-wic-program/updates-and-social-media,2026-04-20,Swindar,
