State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,Healthy Families Marin Home Visiting,Tier 2 — State-wide,"Healthy Families Marin Home Visiting offers home visiting for parents of newborns, supporting them with information about child development and parenting.",Parents of newborns and young children,"Referred families residing in Marin, enrolled prenatally or before three months of birth.",Families can self-refer or be referred by others.,Not specified,Unknown,https://www.marinhhs.org/healthy-families-marin-home-visiting,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,Marin Breastfeeding Coalition,Not specified,"The Marin Breastfeeding Coalition promotes breastfeeding in Marin County, supporting activities that make it the norm and decrease barriers.",Families and individuals in Marin County,Not specified,Not specified,Not specified,Unknown,https://www.marinhhs.org/marin-breastfeeding-coalition,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,WIC,Tier 1 — Universal,"The WIC program provides nutrition assistance and education to low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.marinhhs.org/maternal-child-adolescent-health,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,Medi-Cal Postpartum Care Extension,Tier 1 — Universal,Medi-Cal provides prenatal and pregnancy coverage for eligible individuals.,Pregnant individuals meeting income thresholds,Varies by state expansion status,Not specified,Not specified,Yes,https://www.marinhhs.org/maternal-child-adolescent-health,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,Healthy Families Marin Home Visiting Program,Tier 3 — Selective,The Healthy Families Marin Home Visiting Program provides support and resources for families with newborns.,Families with newborns up to 3 months,Not specified,Not specified,Not specified,Unknown,https://www.marinhhs.org/maternal-child-adolescent-health,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,Marin County Perinatal Services Network,Not specified,The Marin County Perinatal Services Network is a collaborative group of local healthcare providers and community-based organizations working together to improve the systems of care for mothers and babies in Marin.,Mothers and babies in Marin County,Not specified,Not specified,Not specified,Unknown,https://www.marinhhs.org/Marin-PSN,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,Healthy Families Marin Home Visiting,Tier 2 — State-wide,"Healthy Families Marin Home Visiting offers home visiting for parents of newborns, supporting them with information about child development and parenting.",Parents of newborns,"Referred families residing in Marin, enrolled prenatally or before three months of birth.",Referrals can be made via the referral form on the website; parents can self-refer.,Not specified,Unknown,https://www.marinhhs.org/healthy-families-marin-home-visiting,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,Marin County Perinatal Services Network,Not specified,The Marin County Perinatal Services Network is a collaborative group of local healthcare providers and community-based organizations working together to improve the systems of care for mothers and babies in Marin.,Mothers and babies in Marin County,Not specified,Not specified,Not specified,Unknown,https://www.marinhhs.org/Marin-PSN,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,"Women, Infants & Children (WIC)",Tier 1 — Universal,"The WIC program provides nutritional support and education to eligible women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.marinhhs.org/wic-vendor-resources,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,WIC Referral for Pregnant Woman,Tier 1 — Universal,WIC provides nutrition assistance and education for pregnant women.,"Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.marinhhs.org/printable-wic-forms,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,WIC Referral for Postpartum / Breastfeeding Woman,Tier 1 — Universal,WIC provides nutrition assistance and education for postpartum women.,Low-income postpartum and breastfeeding women; infants and children.,Not specified,Not specified,Not specified,Yes,https://www.marinhhs.org/printable-wic-forms,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,"Women, Infants, and Children (WIC) Supplemental Nutrition Program",Tier 1 — Universal,"WIC is a supplemental food and nutrition program for low-income pregnant, breastfeeding, and postpartum women and children under age five who have a nutritional risk.","Low-income pregnant, breastfeeding, and postpartum women; infants and children under age five",Not specified,Not specified,Not specified,Yes,https://www.marinhhs.org/wic,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,"Women, Infants & Children (WIC)",Tier 1 — Universal,"The WIC program provides nutritional support and education to women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.marinhhs.org/wic-hours-locations,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,"Women, Infants & Children (WIC)",Tier 1 — Universal,"WIC is a food and nutrition program that helps to correct or prevent malnutrition in low-income pregnant and breastfeeding women, women who recently had a baby, infants and children up to 5 years old who are at health risk due to inadequate nutrition.","Low-income pregnant, postpartum, and breastfeeding women; infants and children up to 5 years old.",Applicants must meet income eligibility and nutritional need.,Applicants should contact the main Marin County WIC office for more specific information.,"Proof of income, proof of identification, proof of address, proof of pregnancy (if available), immunization record (for children)",Yes,https://www.marinhhs.org/content/wic-faq,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,Applying for WIC,Tier 1 — Universal,"The WIC program provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Must meet income thresholds; varies by state expansion status,Call to make an appointment or use the online WIC Eligibility Assessment.,"Proof of identity, income, and address",Yes,https://www.marinhhs.org/applying-wic,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,WIC,Tier 1 — Universal,"WIC helps mothers, infants, and children below the age of five.","Low-income pregnant, postpartum, and breastfeeding women; infants and children under five.",Families that need food assistance and meet income guidelines.,Not specified,Not specified,Yes,https://www.marinhhs.org/how-long-can-you-get-wic,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
California,Marin,https://www.marincounty.org/,Marin Health and Human Services,HealthyFamilies@marincounty.gov,(415) 473-6008,"Special Supplemental Nutrition Program for Women, Infants, and Children",Tier 1 — Universal,"Provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.marincounty.org/health/wic#main-content,2026-04-20,Swindar,The program does not match any specific program_id from the registry.
