State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Merced,https://www.co.merced.ca.us/,Merced County Community Action Agency - Mariposa WIC,Not found,(800) 472-2321,WIC Program,Tier 1 — Universal,"WIC, the Women, Infants, and Children Program, is a nutrition education and food supplement program that helps lower income pregnant women, new mothers, infants and young children eat well and stay healthy.","Low-income pregnant women, new mothers, infants and young children",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/wic-programs-state/california,2026-03-16,Swindar,
California,Merced,https://www.co.merced.ca.us/,Merced County Community Action Agency - Mariposa WIC,Not found,(800) 472-2321,"Women, Infants, and Children (WIC) program",Tier 1 — Universal,"WIC is a federal assistance program under the USDA that provides nutritious food, nutrition education, breastfeeding support, and referrals to health and social services.","Low-income pregnant and postpartum women, infants, and children up to age 5 who are at nutritional risk.",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/resources/how-wic-works-with-local-food-banks-and-pantries,2026-03-16,Swindar,
California,Merced,https://www.co.merced.ca.us/,Merced County Community Action Agency - Mariposa WIC,Not found,(800) 472-2321,"WIC (Women, Infants, and Children)",Tier 1 — Universal,"WIC is a federal assistance program that provides nutritious foods, nutrition education, and support to low-income pregnant women, new mothers, infants, and children up to age five.","Low-income pregnant women, new mothers, infants, and children up to age five.",Not specified,Not specified,"medical documentation form filled out by a physician, nurse practitioner, or physician assistant",Yes,https://wicprogram.us/resources/managing-food-allergies-with-wic,2026-03-16,Swindar,
California,Merced,https://www.co.merced.ca.us/,Merced County Community Action Agency - Mariposa WIC,Not found,(800) 472-2321,California WIC Program,Tier 1 — Universal,"WIC helps pregnant women, new mothers and young children eat well, stay healthy and be active.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/wic_programs-city/mariposa_ca,2026-03-16,Swindar,
California,Merced,https://www.co.merced.ca.us/,Merced County Community Action Agency - Mariposa WIC,Not found,(800) 472-2321,WIC Program,Tier 1 — Universal,"Special Supplemental Nutrition Program for Women, Infants, and Children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/user/new,2026-03-16,Swindar,
California,Merced,https://www.co.merced.ca.us/,Merced County Community Action Agency - Mariposa WIC,Not found,(800) 472-2321,WIC,Tier 1 — Universal,"WIC helps pregnant women, new mothers and young children eat well, stay healthy and be active.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/program/update?id=5847,2026-03-16,Swindar,
California,Merced,https://www.co.merced.ca.us/,Merced County Community Action Agency - Mariposa WIC,Not found,(800) 472-2321,"Special Supplemental Nutrition Program for Women, Infants, and Children",Tier 1 — Universal,"The Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) is a federal assistance program designed to support low-income pregnant women, breastfeeding mothers, infants, and young children up to the age of five.","Low-income pregnant, postpartum, and breastfeeding women; infants and children up to five years old.",Families must have an income at or below 185% of the federal poverty level; applicants must reside in the state where they are applying for WIC benefits.,"Interested individuals can apply through local WIC offices, community health centers, or public health departments.","Proof of income, residency, and identity is required.",Yes,https://wicprogram.us/resources/what-is-wic-an-overview-of-the-program,2026-03-16,Swindar,
California,Merced,https://www.co.merced.ca.us/,Merced County Community Action Agency - Mariposa WIC,Not found,(800) 472-2321,WIC program,Universal,"The WIC program is a federally funded nutrition assistance initiative offering healthy food benefits, nutrition education, breastfeeding support, and healthcare referrals to eligible participants.","Low-income pregnant, postpartum, and breastfeeding women; infants and children under the age of five.",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/resources/wic-approved-foods-a-complete-list,2026-03-16,Swindar,
California,Merced,https://www.co.merced.ca.us/,Merced County Community Action Agency - Mariposa WIC,Not found,(800) 472-2321,WIC Breastfeeding Support,Universal,"WIC offers support for breastfeeding mothers, including classes and resources.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/resources/breastfeeding-vs-formula-what-wic-moms-need-to-know,2026-03-16,Swindar,
California,Glenn,https://www.countyofglenn.net/,Glenn County Health and Human Services Agency,Not found,Not found,"Special Supplemental Nutrition Program for Women, Infants, and Children",Universal,"The Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) is a federal assistance program designed to support low-income pregnant women, breastfeeding mothers, infants, and young children up to the age of five.","Low-income pregnant women, breastfeeding mothers, infants, and children up to age five",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/resources/category/general,2026-03-16,Swindar,
California,Glenn,https://www.countyofglenn.net/,Glenn County Health and Human Services Agency,Not found,Not found,"Special Supplemental Nutrition Program for Women, Infants, and Children",Tier 1 — Universal,"The WIC program provides nutritional support and education to low-income pregnant, postpartum, and breastfeeding women, as well as infants and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/privacy,2026-03-16,Swindar,
