State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,El Dorado,https://www.edcgov.us/,El Dorado County Public Health,edcquestions@edcgov.us,(530) 642-4817,"Women, Infants and Children (WIC) Program",Tier 1 — Universal,"The WIC Program provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health/Pregnant-Women-Children-Teens-and-Families/Health-Care-Program-for-Children-in-Foster-Care-Health-Passport,2026-04-20,Swindar,
California,El Dorado,https://www.edcgov.us/,El Dorado County Public Health,edcquestions@edcgov.us,(530) 642-4817,婦女、嬰兒和兒童 (WIC) 計劃,Tier 1 — Universal,"WIC program provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health/Pregnant-Women-Children-Teens-and-Families/Maternal-Child-Adolescent-Health-MCAH-and-California-Home-Visiting-Programs?oc_lang=zh-TW,2026-04-20,Swindar,
California,El Dorado,https://www.edcgov.us/,El Dorado County Public Health,edcquestions@edcgov.us,(530) 642-4817,Healthy Families El Dorado County (HFEDC),Tier 3 — Selective,An early-intervention program that supports parenting and child development through home visits.,Vulnerable families during pregnancy and early childhood,Not specified,Not specified,Not specified,Unknown,https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health/Pregnant-Women-Children-Teens-and-Families/Maternal-Child-Adolescent-Health-MCAH-and-California-Home-Visiting-Programs?oc_lang=zh-TW,2026-04-20,Swindar,
California,El Dorado,https://www.edcgov.us/,El Dorado County Public Health,edcquestions@edcgov.us,(530) 642-4817,Postpartum depression screenings,Tier 3 — Selective,Screenings and referrals for postpartum depression and mental health support.,Pregnant and postpartum individuals,Not specified,Not specified,Not specified,Unknown,https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health/Pregnant-Women-Children-Teens-and-Families/Maternal-Child-Adolescent-Health-MCAH-and-California-Home-Visiting-Programs?oc_lang=zh-TW,2026-04-20,Swindar,
California,El Dorado,https://www.edcgov.us/,El Dorado County Public Health,edcquestions@edcgov.us,(530) 642-4817,"Women, Infants, and Children (WIC) Program",Tier 1 — Universal,"The WIC program provides essential nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health/Pregnant-Women-Children-Teens-and-Families/Community-Breastfeeding-Coalition of El Dorado County?oc_lang=pa,2026-04-20,Swindar,
California,El Dorado,https://www.edcgov.us/,El Dorado County Public Health,edcquestions@edcgov.us,(530) 642-4817,"Women, Infants and Children (WIC) Program",Tier 1 — Universal,"The WIC Program provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health/Vital-Statistics/How-to-Order-Birth-and-Death-Certificates,2026-04-20,Swindar,
California,El Dorado,https://www.edcgov.us/,El Dorado County Public Health,edcquestions@edcgov.us,(530) 642-4817,"Women, Infants and Children (WIC) Program",Tier 1 — Universal,"The WIC program provides nutritional support and education for women, infants, and children.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health/Pregnant-Women-Children-Teens-and-Families/Maternal-Child-Adolescent-Health-MCAH-and-California-Home-Visiting-Programs?oc_lang=pa,2026-04-20,Swindar,
California,El Dorado,https://www.edcgov.us/,El Dorado County Public Health,edcquestions@edcgov.us,(530) 642-4817,Healthy Families El Dorado County,Tier 3 — Selective,This program matches families with trained home visiting professionals to provide parenting information and support.,Vulnerable families during pregnancy and early childhood.,Not specified,Not specified,Not specified,Yes,https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health/Pregnant-Women-Children-Teens-and-Families/Maternal-Child-Adolescent-Health-MCAH-and-California-Home-Visiting-Programs?oc_lang=pa,2026-04-20,Swindar,
California,El Dorado,https://www.edcgov.us/,El Dorado County Public Health,edcquestions@edcgov.us,(530) 642-4817,Postpartum Depression Screenings,Tier 3 — Selective,Screenings and referrals for postpartum depression and mental health support.,Pregnant and postpartum women.,Not specified,Not specified,Not specified,Unknown,https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health/Pregnant-Women-Children-Teens-and-Families/Maternal-Child-Adolescent-Health-MCAH-and-California-Home-Visiting-Programs?oc_lang=pa,2026-04-20,Swindar,
California,El Dorado,https://www.edcgov.us/,El Dorado County Public Health,edcquestions@edcgov.us,(530) 642-4817,"Women, Infants and Children (WIC) Program",Tier 1 — Universal,"A program that helps pregnant women, new mothers, and young children obtain necessary nutrition.","Low-income pregnant, postpartum, and breastfeeding women; infants and children.",Not specified,Not specified,Not specified,Yes,https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health/Pregnant-Women-Children-Teens-and-Families?oc_lang=pa,2026-04-20,Swindar,
California,El Dorado,https://www.edcgov.us/,El Dorado County Public Health,edcquestions@edcgov.us,(530) 642-4817,California Home Visiting Programs,Tier 2 — State-wide,Public health home visiting programs designed to help new mothers adjust to having a new baby.,Pregnant women and parents with children 0-5 in at-risk communities.,Not specified,Not specified,Not specified,Unknown,https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health/Pregnant-Women-Children-Teens-and-Families?oc_lang=pa,2026-04-20,Swindar,
California,El Dorado,https://www.edcgov.us/,El Dorado County Public Health,edcquestions@edcgov.us,(530) 642-4817,Alliance for Innovation on Maternal Health,Tier 3 — Selective,A program focused on improving maternal health safety and quality in birthing hospitals.,Birthing hospitals and obstetric providers; indirectly serves all pregnant women,Not specified,Not specified,Not specified,Unknown,https://www.eldoradocounty.ca.gov/County-Government/Policies-and-Disclaimers/Disclaimers,2026-04-20,Swindar,
