State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Madera,https://www.maderacounty.com/,Madera County Department of Public Health,gabriela.fernandez@maderacounty.com,(559) 675-7893,WIC Program,Tier 1 — Universal,"WIC is a supplemental nutrition program that helps pregnant women, new mothers, and young children eat well and stay healthy.","Pregnant women, new mothers, and young children",Not specified,Not specified,Not specified,Yes,https://www.maderacounty.com/government/public-health/maternal-child-and-adolescent-health-program,2026-04-20,Swindar,The program does not match any known maternal health programs from the registry.
California,Madera,https://www.maderacounty.com/,Madera County Department of Public Health,gabriela.fernandez@maderacounty.com,(559) 675-7893,Home Visitation Program,Tier 3 — Selective,"Provides in-home parent-centered emotional support, service referrals, etc.",Expectant parents and families with children,Not specified,Not specified,Not specified,Unknown,https://www.maderacounty.com/government/public-health/maternal-child-and-adolescent-health-program,2026-04-20,Swindar,The program does not match any known maternal health programs from the registry.
California,Madera,https://www.maderacounty.com/,Madera County Department of Public Health,gabriela.fernandez@maderacounty.com,(559) 675-7893,Perinatal Hepatitis B Prevention Program,Not specified,The local Perinatal Hepatitis B Prevention Program (PHPP) aims to prevent the perinatal transmission of hepatitis B of infants born to hepatitis B surface antigen (HBsAg) positive women.,Infants born to hepatitis B surface antigen (HBsAg) positive women,Not specified,Not specified,Not specified,Unknown,https://www.maderacounty.com/government/public-health/maternal-child-and-adolescent-health/perinatal-hepatitis-b-prevention-program,2026-04-20,Swindar,The program does not match any known maternal health programs from the registry.
California,Madera,https://www.maderacounty.com/,Madera County Department of Public Health,gabriela.fernandez@maderacounty.com,(559) 675-7893,Healthy Families America,Tier 3 — Selective,"HFA works with pregnant and parenting families of children prenatally up to age 3, aiming to cultivate nurturing parent-child relationships and enhance family functioning.",Low-income families with newborns up to 3 months; pregnant and parenting families.,Must be enrolled within the first three months after an infant's birth.,Call to enroll or fill out a form.,Not specified,Unknown,https://www.maderacounty.com/government/public-health/maternal-child-and-adolescent-health/home-visitation-program,2026-04-20,Swindar,The program does not match any known maternal health programs from the registry.
California,Madera,https://www.maderacounty.com/,Madera County Department of Public Health,gabriela.fernandez@maderacounty.com,(559) 675-7893,CalWORKs Home Visiting Program,UNMATCHED,"An evidence-based, voluntary program for pregnant and new parents, aiming to support positive health development and well-being outcomes.",Pregnant or parenting individuals or caregivers of children three months or younger.,Must be a member of a CalWORKs assistance unit or think you might be eligible for CalWORKs aid.,Contact Madera County Department of Public Health for more information.,Not specified,Unknown,https://www.maderacounty.com/government/public-health/maternal-child-and-adolescent-health/home-visitation-program,2026-04-20,Swindar,The program does not match any known maternal health programs from the registry.
California,Madera,https://www.maderacounty.com/,Madera County Department of Public Health,gabriela.fernandez@maderacounty.com,(559) 675-7893,WIC,Tier 1 — Universal,"WIC offers appointments and classes through a video call, providing nutrition education and support.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.maderacounty.com/government/public-health/wic/video-appointments,2026-04-20,Swindar,The program does not match any known maternal health programs from the registry.
California,Madera,https://www.maderacounty.com/,Madera County Department of Public Health,gabriela.fernandez@maderacounty.com,(559) 675-7893,Healthy Families,Tier 3 — Selective,"Healthy Families provides support for families with newborns, including stress and risk-factor screening.",Families with newborns up to 3 months,Not specified,Not specified,Not specified,Unknown,https://www.maderacounty.com/government/public-health/wic/video-appointments,2026-04-20,Swindar,The program does not match any known maternal health programs from the registry.
California,Madera,https://www.maderacounty.com/,Madera County Department of Public Health,gabriela.fernandez@maderacounty.com,(559) 675-7893,Medi-Cal,Tier 1 — Universal,Medi-Cal is a state health program that offers no-cost or low-cost health coverage to California.,"Pregnant women, families with children, and low-income individuals.",Qualified people can enroll in Medi-Cal year-round; higher income allowed for pregnant women.,Visit the Department of Health Care Services website for a step-by-step guide.,Not specified,Yes,https://www.maderacounty.com/government/public-health/healthcare-connections/medi-cal-guide,2026-04-20,Swindar,The program does not match any known maternal health programs from the registry.
California,Madera,https://www.maderacounty.com/,Madera County Department of Public Health,gabriela.fernandez@maderacounty.com,(559) 675-7893,WIC,Tier 1 — Universal,WIC staff will see if you are eligible by checking various requirements and conducting a health screening.,"Low-income pregnant, postpartum, and breastfeeding women; infants and children up to 5 years old.","Identification for you and any children from birth to 5 years old, proof of current address, proof of income, proof of pregnancy or pregnancy loss.","To make a WIC appointment, please call us at (559) 675-7623.","Proof of identity, proof of income, proof of pregnancy or pregnancy loss, proof of current address.",Yes,https://www.maderacounty.com/government/public-health/wic/book-an-appointment,2026-04-20,Swindar,The program does not match any known maternal health programs from the registry.
California,Madera,https://www.maderacounty.com/,Madera County Department of Public Health,gabriela.fernandez@maderacounty.com,(559) 675-7893,WIC Program,Tier 1 — Universal,"WIC is a supplemental nutrition program that helps pregnant women, new mothers, and young children eat well and stay healthy.","Pregnant, breastfeeding, or just had a baby; children under 5 years old including foster children; families with a low to medium income.",Families with a low to medium income (185% or less of the federal poverty level). Working families may qualify.,Call (559) 675-7893 to make an appointment and find out which documents you need to bring with you.,Not specified,Yes,https://www.maderacounty.com/government/public-health/wic,2026-04-20,Swindar,The program does not match any known maternal health programs from the registry.
California,Madera,https://www.maderacounty.com/,Madera County Department of Public Health,gabriela.fernandez@maderacounty.com,(559) 675-7893,SIDS Program,Not specified,The SIDS Program aims to reduce the number of infants who die from Sudden Infant Death (SID) and Sudden Unexpected Infant Death (SUID) through community outreach and education.,Infants and families in Madera County,Not specified,Not specified,Not specified,Unknown,https://www.maderacounty.com/government/public-health/maternal-child-and-adolescent-health/sids-program,2026-04-20,Swindar,The program does not match any known maternal health programs from the registry.
California,Madera,https://www.maderacounty.com/,Madera County Department of Public Health,gabriela.fernandez@maderacounty.com,(559) 675-7893,WIC Mobile App,Tier 1 — Universal,Download the WIC App to manage your WIC benefits.,"Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://www.maderacounty.com/government/public-health/wic/wic-mobile-app,2026-04-20,Swindar,The program does not match any known maternal health programs from the registry.
